CASE ID,APPLICATIONTYPE,LOANGOAL,REQUESTEDAMOUNT
Application_1015071619,New credit,Home improvement,15000.0
Application_1015323110,New credit,Home improvement,5000.0
Application_101548356,New credit,Remaining debt home,29800.0
Application_1015522224,New credit,Car,17000.0
Application_1015666669,New credit,Car,5000.0
Application_1017054863,New credit,Home improvement,25000.0
Application_1017578132,Limit raise,Unknown,0.0
Application_1018249155,New credit,"Other, see explanation",5000.0
Application_1018538193,New credit,Existing loan takeover,70000.0
Application_1019299562,New credit,Caravan / Camper,15000.0
Application_1019469082,New credit,Car,20000.0
Application_1020232709,New credit,Existing loan takeover,10000.0
Application_1020410553,New credit,Existing loan takeover,21000.0
Application_1020792873,New credit,Existing loan takeover,10000.0
Application_1020819842,New credit,Existing loan takeover,66600.0
Application_1022619955,New credit,Car,10000.0
Application_10226694,New credit,Remaining debt home,20000.0
Application_1024263335,New credit,Car,15000.0
Application_1024372028,New credit,Car,6500.0
Application_1024776595,New credit,"Other, see explanation",5000.0
Application_1024812544,New credit,Car,10000.0
Application_1025200557,New credit,Extra spending limit,5000.0
Application_1025457860,New credit,Car,15000.0
Application_1026359360,New credit,Car,5000.0
Application_1026537393,New credit,Home improvement,30000.0
Application_102661342,New credit,Home improvement,6000.0
Application_1029342308,New credit,Car,10000.0
Application_1029418789,New credit,Car,10000.0
Application_102977791,New credit,Car,8000.0
Application_1029986710,New credit,Car,7000.0
Application_1030783985,New credit,"Other, see explanation",7200.0
Application_103087302,New credit,Home improvement,17500.0
Application_1031285536,New credit,Existing loan takeover,5000.0
Application_1031388577,New credit,"Other, see explanation",75000.0
Application_1031512096,New credit,Existing loan takeover,7000.0
Application_1031666995,New credit,Car,15000.0
Application_103222410,New credit,Home improvement,6500.0
Application_1032916256,New credit,Car,8500.0
Application_1033039379,New credit,Car,10000.0
Application_1033444821,New credit,Existing loan takeover,21000.0
Application_1033492370,New credit,Unknown,0.0
Application_1033756531,New credit,Not speficied,24000.0
Application_1034775753,New credit,Car,5500.0
Application_1035060924,New credit,Existing loan takeover,58000.0
Application_1035080902,New credit,Car,10000.0
Application_1035841874,New credit,Unknown,0.0
Application_1036915113,New credit,Car,6000.0
Application_1037039544,New credit,Unknown,0.0
Application_103754631,New credit,Existing loan takeover,15000.0
Application_1037715800,New credit,"Other, see explanation",50000.0
Application_1037877882,New credit,Remaining debt home,15000.0
Application_1038409529,New credit,Car,10000.0
Application_1038559722,New credit,Home improvement,5000.0
Application_1038568085,New credit,Home improvement,6000.0
Application_1038660996,New credit,Existing loan takeover,70000.0
Application_1038917262,New credit,Car,18000.0
Application_104061665,New credit,Existing loan takeover,25000.0
Application_104086705,New credit,Existing loan takeover,50000.0
Application_1041352861,Limit raise,Home improvement,0.0
Application_1041474698,New credit,"Other, see explanation",20000.0
Application_1041893740,New credit,Car,10000.0
Application_1042227438,New credit,Car,30000.0
Application_1042283273,New credit,Car,9500.0
Application_1042483528,New credit,"Other, see explanation",10000.0
Application_1042621630,New credit,Unknown,10000.0
Application_1042909603,New credit,Caravan / Camper,60000.0
Application_1043286395,New credit,Boat,25000.0
Application_1043759662,New credit,Not speficied,6500.0
Application_104534633,New credit,Home improvement,10000.0
Application_104674625,New credit,Unknown,0.0
Application_1046834008,New credit,Home improvement,15000.0
Application_1046950400,New credit,Existing loan takeover,5000.0
Application_1047582740,New credit,"Other, see explanation",5000.0
Application_1047649064,New credit,Existing loan takeover,40000.0
Application_1048045767,New credit,Existing loan takeover,7500.0
Application_1048729110,New credit,"Other, see explanation",15000.0
Application_1048862780,New credit,Home improvement,8500.0
Application_1049158506,Limit raise,Unknown,16500.0
Application_1049972821,New credit,Not speficied,75000.0
Application_1050085739,New credit,"Other, see explanation",11500.0
Application_1050938301,New credit,Remaining debt home,23000.0
Application_105128819,New credit,"Other, see explanation",15000.0
Application_1052198739,New credit,Car,15000.0
Application_1052488188,New credit,Home improvement,30000.0
Application_1053010811,New credit,Home improvement,10000.0
Application_1053321873,New credit,Car,8000.0
Application_1053676106,New credit,Car,5000.0
Application_105434976,New credit,Car,6000.0
Application_1054590917,New credit,Car,25000.0
Application_1054610040,New credit,Not speficied,10000.0
Application_105476077,New credit,Remaining debt home,0.0
Application_1054883456,New credit,Home improvement,8000.0
Application_1055057439,New credit,Car,6000.0
Application_1055557026,New credit,Home improvement,30000.0
Application_1055618357,New credit,Existing loan takeover,50000.0
Application_1055785370,New credit,Home improvement,10000.0
Application_1055868885,New credit,Car,21500.0
Application_1055889043,New credit,Home improvement,7500.0
Application_1056628969,New credit,"Other, see explanation",6000.0
Application_1056728728,New credit,Home improvement,10000.0
Application_1057130346,New credit,Home improvement,18000.0
Application_1057948957,New credit,Car,11000.0
Application_1058243931,New credit,Car,15000.0
Application_1058972301,New credit,Car,21000.0
Application_1058982112,New credit,Car,16000.0
Application_105906022,New credit,Existing loan takeover,30000.0
Application_1059184025,New credit,Caravan / Camper,6600.0
Application_1059317915,New credit,Car,5000.0
Application_105937968,New credit,"Other, see explanation",20000.0
Application_1059851748,New credit,Home improvement,5000.0
Application_1060612423,New credit,Car,9300.0
Application_1061140974,New credit,Existing loan takeover,15000.0
Application_1061354216,New credit,Tax payments,6000.0
Application_1061526404,New credit,Car,8000.0
Application_1062571933,New credit,Existing loan takeover,10000.0
Application_1062597280,New credit,Car,6000.0
Application_1062777757,New credit,Home improvement,6000.0
Application_1062938548,New credit,Extra spending limit,5000.0
Application_1063014072,New credit,Existing loan takeover,5000.0
Application_1063334591,New credit,Existing loan takeover,43750.0
Application_1063923348,New credit,Car,15000.0
Application_1064063552,New credit,Unknown,0.0
Application_1065521969,New credit,Car,10000.0
Application_1066126238,New credit,Home improvement,15000.0
Application_1067751978,New credit,Existing loan takeover,25000.0
Application_1067894025,Limit raise,Car,45000.0
Application_1068027824,New credit,"Other, see explanation",5000.0
Application_1068062776,New credit,Existing loan takeover,13200.0
Application_1068338293,New credit,Existing loan takeover,23000.0
Application_106973225,New credit,Home improvement,30000.0
Application_107006704,New credit,Home improvement,15500.0
Application_107048111,New credit,Existing loan takeover,60000.0
Application_1070792566,Limit raise,Home improvement,35000.0
Application_1070981949,New credit,Existing loan takeover,57000.0
Application_1071087950,New credit,Car,5000.0
Application_1071567668,New credit,Existing loan takeover,15000.0
Application_1071820701,New credit,Home improvement,6250.0
Application_1072060993,New credit,Car,10000.0
Application_1072131214,New credit,Existing loan takeover,15000.0
Application_1072363196,New credit,Car,25000.0
Application_1072401713,New credit,Not speficied,13500.0
Application_1073355268,Limit raise,Home improvement,17500.0
Application_1076081955,New credit,Extra spending limit,15000.0
Application_1076323709,New credit,"Other, see explanation",19000.0
Application_1076621871,New credit,Existing loan takeover,5000.0
Application_1078140856,New credit,Motorcycle,5000.0
Application_107816336,New credit,Car,21500.0
Application_1079258234,New credit,Home improvement,46500.0
Application_1079421280,New credit,Home improvement,10000.0
Application_1080107159,New credit,Home improvement,15000.0
Application_1080224644,New credit,"Other, see explanation",10000.0
Application_1081922748,New credit,Home improvement,12500.0
Application_1082342116,New credit,Car,13000.0
Application_1083700866,New credit,Unknown,0.0
Application_1084197155,New credit,Existing loan takeover,40000.0
Application_1084464148,New credit,Extra spending limit,5000.0
Application_1084954796,New credit,Existing loan takeover,50000.0
Application_1084966420,New credit,"Other, see explanation",35000.0
Application_1085313302,New credit,Motorcycle,8000.0
Application_1085521488,New credit,Existing loan takeover,6000.0
Application_1086310567,New credit,Car,10000.0
Application_1086593705,New credit,Not speficied,5000.0
Application_1086606722,New credit,Home improvement,5000.0
Application_1086862400,Limit raise,Home improvement,30000.0
Application_1087053459,New credit,Car,17000.0
Application_1087137354,New credit,Home improvement,10000.0
Application_1087176482,New credit,Home improvement,15000.0
Application_1087673661,New credit,Existing loan takeover,37500.0
Application_1087708979,New credit,Existing loan takeover,30000.0
Application_108777253,New credit,Car,5000.0
Application_1087802012,New credit,Car,10000.0
Application_1088555315,New credit,Car,11000.0
Application_1088749867,New credit,Home improvement,14000.0
Application_1088837371,New credit,Car,50000.0
Application_108884184,New credit,Existing loan takeover,25000.0
Application_1089919129,New credit,Existing loan takeover,60000.0
Application_1090055049,New credit,Existing loan takeover,25500.0
Application_1090342212,New credit,Existing loan takeover,65000.0
Application_1090564097,New credit,Car,6000.0
Application_1090987472,New credit,Home improvement,30000.0
Application_1091101077,New credit,Home improvement,50000.0
Application_1092476821,New credit,"Other, see explanation",10000.0
Application_1092818447,New credit,Car,6500.0
Application_1094073787,New credit,Unknown,0.0
Application_1094983427,New credit,Car,8000.0
Application_1095104169,New credit,Existing loan takeover,33000.0
Application_1095501101,New credit,Car,5500.0
Application_1095753414,Limit raise,Car,40000.0
Application_109582133,New credit,Existing loan takeover,25000.0
Application_1096401729,New credit,Home improvement,26500.0
Application_1096662178,Limit raise,Caravan / Camper,39000.0
Application_1096831814,New credit,Car,11800.0
Application_1096869611,New credit,"Other, see explanation",15000.0
Application_109718783,New credit,Home improvement,25000.0
Application_1097199430,New credit,Remaining debt home,35000.0
Application_1097327496,New credit,"Other, see explanation",15000.0
Application_109767425,Limit raise,Home improvement,6500.0
Application_1097779964,New credit,Car,8000.0
Application_1098278191,New credit,Home improvement,5000.0
Application_109863874,New credit,Home improvement,5000.0
Application_1099008963,New credit,Existing loan takeover,7000.0
Application_1099663893,New credit,Existing loan takeover,55000.0
Application_1099835060,New credit,Remaining debt home,0.0
Application_109999371,New credit,Home improvement,20000.0
Application_1100210112,New credit,Existing loan takeover,20000.0
Application_1100528846,New credit,Home improvement,9000.0
Application_1100589857,New credit,Unknown,0.0
Application_1100622320,New credit,Unknown,0.0
Application_1100879546,New credit,Home improvement,25000.0
Application_1101931698,New credit,Home improvement,30000.0
Application_1102024188,Limit raise,Home improvement,40000.0
Application_1103374373,New credit,"Other, see explanation",50000.0
Application_1103750952,New credit,Unknown,0.0
Application_110384193,New credit,Existing loan takeover,18500.0
Application_1103913514,New credit,Unknown,0.0
Application_1104335525,New credit,"Other, see explanation",17000.0
Application_1104606079,New credit,Car,15000.0
Application_1104832087,New credit,Remaining debt home,16000.0
Application_110483872,Limit raise,Home improvement,10000.0
Application_1105840098,New credit,"Other, see explanation",10700.0
Application_1106452224,Limit raise,Home improvement,20000.0
Application_1107300521,New credit,Home improvement,9000.0
Application_1107993134,New credit,Car,5000.0
Application_1108278358,New credit,Home improvement,35000.0
Application_1108620674,New credit,Existing loan takeover,9000.0
Application_1108692697,New credit,Car,8500.0
Application_1109248632,New credit,"Other, see explanation",40000.0
Application_1110428271,New credit,Home improvement,5000.0
Application_1110558665,New credit,Car,7000.0
Application_1111458873,New credit,Car,15000.0
Application_1111862507,New credit,Existing loan takeover,21000.0
Application_1111963988,New credit,"Other, see explanation",10000.0
Application_1112223889,Limit raise,Car,55000.0
Application_1112501306,New credit,Home improvement,10000.0
Application_1112725615,New credit,Existing loan takeover,25000.0
Application_1113828335,New credit,Not speficied,15000.0
Application_1113916357,New credit,Home improvement,27500.0
Application_1113974453,New credit,Car,10000.0
Application_1114052248,New credit,Car,10000.0
Application_1114088888,New credit,Car,15000.0
Application_1114334411,New credit,Existing loan takeover,38000.0
Application_1116176146,New credit,Home improvement,15000.0
Application_11164910,Limit raise,Car,15000.0
Application_1118683509,New credit,Existing loan takeover,7000.0
Application_1119128567,New credit,Car,25000.0
Application_1119407054,New credit,Extra spending limit,30000.0
Application_1119986126,New credit,Home improvement,0.0
Application_1120696170,New credit,Car,24900.0
Application_1121537718,Limit raise,Car,8000.0
Application_1121796531,New credit,Home improvement,15000.0
Application_112206225,New credit,Car,8500.0
Application_1122721558,New credit,"Other, see explanation",34000.0
Application_112338697,New credit,Unknown,0.0
Application_1123629809,New credit,"Other, see explanation",5000.0
Application_1123655418,New credit,Car,8000.0
Application_1125229039,New credit,Existing loan takeover,0.0
Application_1125233866,New credit,Tax payments,10000.0
Application_1126141927,New credit,Home improvement,10000.0
Application_112753720,New credit,Car,6000.0
Application_1127579449,New credit,Home improvement,10000.0
Application_1128002102,New credit,Tax payments,13500.0
Application_1128037409,New credit,Existing loan takeover,35000.0
Application_1128308263,New credit,Car,22000.0
Application_1128492937,New credit,Car,5000.0
Application_1128726606,New credit,Car,15000.0
Application_1128773580,New credit,Unknown,0.0
Application_1128851023,Limit raise,Car,15000.0
Application_1129477770,New credit,Not speficied,10000.0
Application_1129585793,New credit,Existing loan takeover,30000.0
Application_1130321848,New credit,Unknown,0.0
Application_1130795851,New credit,Home improvement,50000.0
Application_1130845322,New credit,Home improvement,5000.0
Application_1131588689,New credit,Existing loan takeover,17000.0
Application_1133392995,New credit,Car,25000.0
Application_1133480312,New credit,Unknown,0.0
Application_1134274536,New credit,Existing loan takeover,17000.0
Application_1134491162,New credit,Extra spending limit,5000.0
Application_113474586,New credit,Existing loan takeover,61000.0
Application_1135401738,New credit,Existing loan takeover,6500.0
Application_1135575063,New credit,Home improvement,30000.0
Application_1135650035,New credit,Remaining debt home,15000.0
Application_1136484968,New credit,Home improvement,25000.0
Application_113709871,Limit raise,Home improvement,55000.0
Application_1137139708,Limit raise,Car,15000.0
Application_1137470998,Limit raise,Unknown,0.0
Application_1137627493,New credit,Home improvement,20000.0
Application_1138349499,Limit raise,Home improvement,15000.0
Application_1138661939,New credit,Caravan / Camper,10000.0
Application_1139316424,New credit,Car,7500.0
Application_1139528532,New credit,Car,7000.0
Application_1139692633,New credit,Existing loan takeover,40000.0
Application_1139883069,New credit,Existing loan takeover,50000.0
Application_1139889602,New credit,Car,10000.0
Application_1140236377,New credit,Car,15000.0
Application_1140438880,New credit,Boat,15000.0
Application_1140496903,New credit,Car,7500.0
Application_1140505774,New credit,Existing loan takeover,5000.0
Application_1140627285,New credit,Existing loan takeover,29000.0
Application_1140915686,Limit raise,Home improvement,18500.0
Application_1140934167,New credit,Existing loan takeover,75000.0
Application_1140953198,New credit,Car,7000.0
Application_1141060428,New credit,Unknown,0.0
Application_1141108757,Limit raise,Extra spending limit,0.0
Application_1141114991,New credit,"Other, see explanation",15000.0
Application_1141800606,New credit,Home improvement,25000.0
Application_1142291922,New credit,Caravan / Camper,11000.0
Application_1142835445,New credit,Existing loan takeover,25000.0
Application_1143217229,New credit,Existing loan takeover,7000.0
Application_1144168806,New credit,Car,5500.0
Application_1145270559,New credit,Car,15000.0
Application_1145808758,Limit raise,Car,18000.0
Application_1147393764,New credit,"Other, see explanation",5000.0
Application_114770777,New credit,Home improvement,28250.0
Application_1148681151,New credit,Unknown,0.0
Application_1148870716,New credit,"Other, see explanation",15000.0
Application_1148947108,New credit,Extra spending limit,7000.0
Application_1148958171,New credit,Car,15000.0
Application_1149385102,New credit,Car,5000.0
Application_1149826505,New credit,Car,15000.0
Application_1149882287,New credit,Car,15000.0
Application_1150992246,Limit raise,Home improvement,75000.0
Application_1151254747,New credit,"Other, see explanation",5000.0
Application_1151460907,Limit raise,Unknown,0.0
Application_115147114,New credit,"Other, see explanation",15000.0
Application_1152749844,New credit,Car,15000.0
Application_1152946944,New credit,Car,15000.0
Application_1152955170,New credit,Car,7000.0
Application_1153327019,New credit,"Other, see explanation",75000.0
Application_1153332543,Limit raise,Unknown,0.0
Application_1153365113,New credit,Existing loan takeover,23000.0
Application_115387399,New credit,Home improvement,8000.0
Application_1154136215,New credit,Home improvement,20000.0
Application_1154815190,New credit,Unknown,0.0
Application_1154893223,New credit,Car,25000.0
Application_1155604178,New credit,Car,5000.0
Application_1155698672,New credit,Car,25000.0
Application_1155915722,New credit,Boat,32000.0
Application_1155963097,New credit,Home improvement,6800.0
Application_1156380786,New credit,Existing loan takeover,60000.0
Application_115695512,New credit,Existing loan takeover,26000.0
Application_1157146045,New credit,Car,22000.0
Application_1157425174,New credit,Car,6000.0
Application_1157719643,New credit,Home improvement,5000.0
Application_1158460069,New credit,Car,20000.0
Application_1159017818,New credit,Car,12000.0
Application_1159387735,New credit,Home improvement,25000.0
Application_1159445220,New credit,Remaining debt home,8250.0
Application_1159585631,New credit,Car,10000.0
Application_1160149760,New credit,Caravan / Camper,30000.0
Application_1160716330,New credit,Existing loan takeover,22700.0
Application_1160764593,New credit,Car,10000.0
Application_1161236255,Limit raise,Car,10500.0
Application_1161456272,New credit,"Other, see explanation",7000.0
Application_116198210,New credit,Home improvement,10000.0
Application_1162167865,Limit raise,Car,7500.0
Application_1162568399,New credit,Car,30000.0
Application_1163091843,New credit,"Other, see explanation",10000.0
Application_1163352152,New credit,Car,5000.0
Application_1163666739,New credit,Home improvement,5000.0
Application_1163712852,New credit,Unknown,0.0
Application_1163719541,Limit raise,Caravan / Camper,35000.0
Application_1164206796,New credit,Home improvement,5000.0
Application_1164410455,New credit,Unknown,0.0
Application_1164479144,New credit,Home improvement,25000.0
Application_1164741236,New credit,Existing loan takeover,75000.0
Application_1165106560,New credit,Home improvement,10000.0
Application_1165348053,New credit,Existing loan takeover,35000.0
Application_1165595037,New credit,Unknown,0.0
Application_1165741868,Limit raise,Remaining debt home,10000.0
Application_1166215408,Limit raise,Unknown,0.0
Application_1166300620,New credit,Car,17500.0
Application_1166516399,Limit raise,Existing loan takeover,11750.0
Application_1167813329,New credit,"Other, see explanation",6000.0
Application_1168237766,New credit,Home improvement,10500.0
Application_1168520628,New credit,Existing loan takeover,30000.0
Application_1169100815,New credit,Car,20000.0
Application_1169107422,New credit,Car,55000.0
Application_1169258361,New credit,Boat,39500.0
Application_1169406692,Limit raise,Unknown,0.0
Application_1169685823,New credit,"Other, see explanation",31000.0
Application_1169787039,New credit,Existing loan takeover,30000.0
Application_1170023988,New credit,Home improvement,18000.0
Application_1170084576,New credit,Home improvement,5000.0
Application_1170287611,New credit,Unknown,0.0
Application_1171008881,New credit,Existing loan takeover,5000.0
Application_1171086227,New credit,Car,13395.0
Application_1171245943,New credit,Car,5000.0
Application_1171303407,Limit raise,Car,7500.0
Application_1171666859,Limit raise,Car,10000.0
Application_1172139782,New credit,Home improvement,12000.0
Application_1173137665,New credit,Home improvement,10000.0
Application_1173877265,New credit,Unknown,0.0
Application_1174487475,New credit,Unknown,0.0
Application_1174558661,New credit,Home improvement,20000.0
Application_1174869216,New credit,Home improvement,18000.0
Application_1175093878,New credit,Unknown,17000.0
Application_117521403,New credit,Home improvement,15000.0
Application_1176335358,New credit,Remaining debt home,10000.0
Application_1176372876,New credit,Existing loan takeover,12000.0
Application_117667027,New credit,Existing loan takeover,12500.0
Application_1176826367,New credit,Home improvement,12000.0
Application_1177365973,New credit,Unknown,0.0
Application_11773925,New credit,Home improvement,5000.0
Application_1177986362,New credit,Existing loan takeover,5000.0
Application_1178642018,Limit raise,Home improvement,70000.0
Application_117906047,New credit,Car,10000.0
Application_117953942,New credit,Home improvement,11000.0
Application_1179724572,Limit raise,Unknown,0.0
Application_1179942266,New credit,Existing loan takeover,50000.0
Application_1181226423,New credit,Car,11000.0
Application_1181289999,Limit raise,Unknown,0.0
Application_1181332355,New credit,Car,10000.0
Application_1181352932,New credit,Car,25000.0
Application_1181449425,New credit,Car,6000.0
Application_1182628609,New credit,Existing loan takeover,25000.0
Application_1182795681,New credit,Unknown,0.0
Application_1183136852,New credit,Home improvement,15000.0
Application_1183305356,New credit,Existing loan takeover,5000.0
Application_1183771225,New credit,Home improvement,20000.0
Application_1184623933,New credit,Car,10000.0
Application_1185170675,New credit,Car,10000.0
Application_1186082182,New credit,"Other, see explanation",6000.0
Application_1186585699,New credit,Existing loan takeover,12000.0
Application_1186596204,Limit raise,"Other, see explanation",16000.0
Application_1186682952,New credit,Existing loan takeover,30000.0
Application_1187776886,New credit,Existing loan takeover,11000.0
Application_1188852417,New credit,Home improvement,15000.0
Application_118888889,New credit,Existing loan takeover,16000.0
Application_1189177241,Limit raise,Car,14000.0
Application_1189337144,New credit,"Other, see explanation",25000.0
Application_1189371863,New credit,Home improvement,5100.0
Application_118946914,New credit,Existing loan takeover,5000.0
Application_1190248480,New credit,Car,22500.0
Application_1191648553,New credit,Motorcycle,18000.0
Application_1192732235,New credit,"Other, see explanation",17500.0
Application_1192817854,New credit,Car,5000.0
Application_1193074618,New credit,Unknown,0.0
Application_1193108149,New credit,Unknown,17000.0
Application_1193197506,New credit,Home improvement,35000.0
Application_1193723578,New credit,Car,20000.0
Application_1193728293,New credit,Car,15000.0
Application_119410858,New credit,Existing loan takeover,5000.0
Application_1194177206,New credit,Remaining debt home,13000.0
Application_119439312,New credit,Caravan / Camper,32000.0
Application_1194465021,New credit,"Other, see explanation",15000.0
Application_119597834,New credit,Home improvement,5000.0
Application_1197050291,New credit,Home improvement,20000.0
Application_1198022967,New credit,Home improvement,10000.0
Application_1198161746,New credit,Not speficied,35000.0
Application_1198627231,New credit,Car,18000.0
Application_1198789885,New credit,Car,5000.0
Application_1198844656,New credit,Car,10000.0
Application_1199283110,New credit,Car,5000.0
Application_1199880952,Limit raise,Home improvement,60000.0
Application_1200079309,Limit raise,"Other, see explanation",20000.0
Application_1200112574,New credit,Car,10000.0
Application_120169268,New credit,Home improvement,15000.0
Application_1202186730,New credit,Home improvement,10000.0
Application_1203131247,New credit,"Other, see explanation",15000.0
Application_1203742645,New credit,"Other, see explanation",40000.0
Application_1204519976,New credit,Car,7500.0
Application_1204758594,New credit,"Other, see explanation",39000.0
Application_1205027125,New credit,Car,12000.0
Application_120531207,New credit,Car,10000.0
Application_1205317613,New credit,Home improvement,15000.0
Application_120596088,New credit,Home improvement,30000.0
Application_1206188048,New credit,Home improvement,40000.0
Application_120630886,New credit,Existing loan takeover,15000.0
Application_1206648420,New credit,"Other, see explanation",10000.0
Application_1206779440,New credit,Extra spending limit,25000.0
Application_1206779719,Limit raise,Unknown,0.0
Application_1206916210,New credit,"Other, see explanation",5000.0
Application_1207038345,Limit raise,Home improvement,50000.0
Application_1207290531,New credit,Home improvement,7400.0
Application_1207519267,New credit,Car,7500.0
Application_1207762748,Limit raise,Unknown,40000.0
Application_1208202898,New credit,Home improvement,19000.0
Application_1208437635,New credit,Car,15000.0
Application_1209324898,Limit raise,Motorcycle,18000.0
Application_1210030167,New credit,Home improvement,15000.0
Application_1210095800,Limit raise,Home improvement,7000.0
Application_1210329743,New credit,Car,10000.0
Application_1210876281,Limit raise,Car,25000.0
Application_1211557103,New credit,"Other, see explanation",50000.0
Application_1211626865,Limit raise,Car,8000.0
Application_1212763673,New credit,Home improvement,5000.0
Application_1213104145,New credit,Car,8000.0
Application_1213605579,New credit,Home improvement,25000.0
Application_1214035810,New credit,Existing loan takeover,25000.0
Application_1214830643,New credit,Existing loan takeover,25000.0
Application_1215004066,New credit,"Other, see explanation",34600.0
Application_1215513637,New credit,Car,7000.0
Application_1215926156,New credit,Home improvement,0.0
Application_1216133547,New credit,Existing loan takeover,33000.0
Application_1216221984,New credit,Car,15000.0
Application_1216511082,New credit,Caravan / Camper,5000.0
Application_1216957963,New credit,"Other, see explanation",15000.0
Application_1217329872,Limit raise,Extra spending limit,10000.0
Application_1217504535,New credit,Home improvement,6000.0
Application_121770332,New credit,"Other, see explanation",6000.0
Application_1217818731,New credit,Caravan / Camper,15000.0
Application_121793783,Limit raise,Unknown,0.0
Application_1218027440,New credit,Existing loan takeover,25000.0
Application_1218082757,New credit,"Other, see explanation",5000.0
Application_1218318144,New credit,Existing loan takeover,10000.0
Application_1218424359,New credit,Not speficied,5000.0
Application_1218452071,New credit,"Other, see explanation",70000.0
Application_1219106800,New credit,Car,10000.0
Application_1219413099,New credit,Home improvement,30000.0
Application_1219744215,New credit,"Other, see explanation",15000.0
Application_1219772874,New credit,Existing loan takeover,23500.0
Application_1219982473,New credit,Home improvement,7500.0
Application_1220254934,New credit,Remaining debt home,12500.0
Application_1220733305,New credit,Not speficied,15000.0
Application_1221588667,Limit raise,Home improvement,25000.0
Application_1221766967,New credit,Car,0.0
Application_1221904628,New credit,Not speficied,5000.0
Application_1221917431,New credit,Car,8000.0
Application_122220536,New credit,Car,22000.0
Application_1222885614,New credit,Existing loan takeover,7500.0
Application_1224457581,Limit raise,"Other, see explanation",22000.0
Application_1224517134,New credit,Car,5000.0
Application_1224776963,New credit,Car,5000.0
Application_1225326734,New credit,Car,13500.0
Application_1225567788,New credit,Not speficied,5000.0
Application_1225668841,New credit,Car,5000.0
Application_1226063921,New credit,Existing loan takeover,12000.0
Application_1226881790,New credit,"Other, see explanation",7500.0
Application_1226994121,New credit,Not speficied,11000.0
Application_1227190451,New credit,Existing loan takeover,8000.0
Application_1227508565,New credit,Home improvement,12000.0
Application_1228435455,Limit raise,"Other, see explanation",40000.0
Application_1228547579,New credit,Remaining debt home,35000.0
Application_1228722182,New credit,Remaining debt home,0.0
Application_1228813193,New credit,Unknown,0.0
Application_1229177720,New credit,Car,25000.0
Application_1229450881,New credit,Home improvement,15000.0
Application_1229707182,New credit,Remaining debt home,29000.0
Application_123016072,Limit raise,Home improvement,15000.0
Application_1230429714,New credit,Car,5500.0
Application_1230658979,New credit,Extra spending limit,5000.0
Application_1230970456,New credit,Not speficied,6500.0
Application_1231004386,New credit,Existing loan takeover,6500.0
Application_1231161788,New credit,Car,6000.0
Application_1231464056,New credit,"Other, see explanation",15000.0
Application_1232628960,New credit,Car,15000.0
Application_1232645495,Limit raise,"Other, see explanation",39500.0
Application_123281093,Limit raise,Unknown,0.0
Application_1233495129,New credit,Not speficied,19000.0
Application_1233722618,New credit,Motorcycle,5000.0
Application_1234532723,New credit,Not speficied,60000.0
Application_1234535641,New credit,Existing loan takeover,8000.0
Application_1234958151,New credit,Not speficied,17000.0
Application_1235123682,New credit,Car,5000.0
Application_1235233550,New credit,Car,6000.0
Application_1235563609,New credit,Extra spending limit,30000.0
