CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 1035","Incident","Premium","Normal","Res8",18,"True/Wait"
"Case 1036","Task","Gold","High","Res3",18,"True/Wait"
"Case 1037","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1038","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1039","Incident","Gold","High","Res8",18,"False/No-Wait"
"Case 104","Question","Gold","High","Res3",18,"False/No-Wait"
"Case 1040","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1041","Question","Premium","High","Res4",18,"False/No-Wait"
"Case 1042","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1043","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1044","Question","Premium","Normal","Res8",18,"True/Wait"
"Case 1045","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1046","Question","Gold","High","Res3",18,"False/No-Wait"
"Case 1047","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1048","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1049","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 105","Task","Gold","Normal","Res3",18,"True/Wait"
"Case 1050","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1051","Incident","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1052","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1053","Task","Premium","High","Res4",18,"True/Wait"
"Case 1054","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1055","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1056","Question","Premium","Urgent","Res8",18,"False/No-Wait"
"Case 1057","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1058","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1059","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 106","Incident","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1060","Question","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1061","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1062","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1063","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1064","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1065","Incident","Premium","High","Res8",18,"False/No-Wait"
"Case 1066","Question","Premium","High","Res8",18,"False/No-Wait"
"Case 1067","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1068","Task","Premium","High","Res3",18,"False/No-Wait"
"Case 1069","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 107","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1070","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1071","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1072","Task","Gold","High","Res4",18,"False/No-Wait"
"Case 1073","Incident","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1074","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1075","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1076","Task","Premium","High","Res8",18,"True/Wait"
"Case 1077","Task","Premium","High","Res3",18,"False/No-Wait"
"Case 1078","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1079","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 108","Task","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1080","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1081","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1082","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1083","Incident","Gold","Urgent","Res8",18,"False/No-Wait"
"Case 1084","Question","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1085","Question","Premium","High","Res4",18,"True/Wait"
"Case 1086","Question","Gold","High","Res4",18,"False/No-Wait"
"Case 1087","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1088","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1089","Incident","Premium","Normal","Res8",18,"True/Wait"
"Case 109","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1090","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1091","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1092","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1093","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1094","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1095","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1096","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1097","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1098","Incident","Premium","High","Res4",18,"False/No-Wait"
"Case 1099","Incident","Gold","Normal","Res8",18,"False/No-Wait"
"Case 11","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 110","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1100","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1101","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1102","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1103","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1104","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1105","Incident","Gold","High","Res4",18,"False/No-Wait"
"Case 1106","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1107","Task","Gold","High","Res4",18,"False/No-Wait"
"Case 1108","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1109","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 111","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1110","Task","Gold","Normal","Res8",18,"True/Wait"
"Case 1111","Task","Premium","High","Res8",18,"True/Wait"
"Case 1112","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1113","Task","Premium","High","Res4",18,"True/Wait"
"Case 1114","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1115","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1116","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1117","Question","Premium","Urgent","Res3",18,"False/No-Wait"
"Case 1118","Task","Gold","High","Res3",18,"False/No-Wait"
"Case 1119","Incident","Gold","High","Res8",18,"False/No-Wait"
"Case 112","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1120","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1121","Task","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1122","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1123","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1124","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1125","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1126","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1127","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1128","Task","Gold","High","Res3",18,"False/No-Wait"
"Case 1129","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 113","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1130","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1131","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1132","Task","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1133","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1134","Question","Gold","High","Res3",18,"False/No-Wait"
"Case 1135","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1136","Question","Premium","High","Res8",18,"False/No-Wait"
"Case 1137","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1138","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1139","Question","Gold","High","Res4",18,"False/No-Wait"
"Case 114","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1140","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1141","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1142","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1143","Incident","Gold","High","Res3",18,"False/No-Wait"
"Case 1144","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1145","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1146","Question","Gold","High","Res8",18,"False/No-Wait"
"Case 1147","Task","Premium","Normal","Res4",18,"False/No-Wait"
"Case 1148","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1149","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 115","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1150","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1151","Incident","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1152","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1153","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1154","Question","Gold","Normal","Res4",18,"True/Wait"
"Case 1155","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1156","Incident","Premium","Normal","Res8",18,"True/Wait"
"Case 1157","Task","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1158","Task","Premium","High","Res3",18,"True/Wait"
"Case 1159","Task","Premium","High","Res4",18,"True/Wait"
"Case 116","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1160","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1161","Incident","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1162","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1163","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1164","Task","Premium","High","Res8",18,"False/No-Wait"
"Case 1165","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1166","Question","Gold","High","Res4",18,"False/No-Wait"
"Case 1167","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1168","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1169","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 117","Incident","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1170","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1171","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1172","Question","Premium","High","Res8",18,"True/Wait"
"Case 1173","Task","Premium","High","Res4",18,"True/Wait"
"Case 1174","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1175","Task","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1176","Task","Premium","High","Res8",18,"True/Wait"
"Case 1177","Incident","Premium","High","Res4",18,"False/No-Wait"
"Case 1178","Incident","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1179","Task","Premium","High","Res4",18,"True/Wait"
"Case 118","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1180","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1181","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1182","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1183","Question","Gold","Normal","Res8",18,"True/Wait"
"Case 1184","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1185","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1186","Task","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1187","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1188","Question","Premium","Normal","Res8",18,"False/No-Wait"
"Case 1189","Incident","Premium","Normal","Res3",18,"True/Wait"
"Case 119","Task","Gold","High","Res3",18,"False/No-Wait"
"Case 1190","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1191","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1192","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1193","Task","Premium","Urgent","Res3",18,"False/No-Wait"
"Case 1194","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1195","Task","Premium","High","Res4",18,"False/No-Wait"
"Case 1196","Incident","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1197","Question","Premium","Normal","Res8",18,"True/Wait"
"Case 1198","Question","Gold","High","Res3",18,"False/No-Wait"
"Case 1199","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 12","Question","Premium","Normal","Res4",18,"False/No-Wait"
"Case 120","Incident","Gold","Normal","Res4",18,"True/Wait"
"Case 1200","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1201","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1202","Incident","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1203","Task","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1204","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1205","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1206","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1207","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1208","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1209","Incident","Gold","High","Res4",18,"False/No-Wait"
"Case 121","Question","Gold","Urgent","Res8",18,"False/No-Wait"
"Case 1210","Task","Premium","High","Res8",18,"True/Wait"
"Case 1211","Task","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1212","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1213","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1214","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1215","Question","Premium","High","Res4",18,"False/No-Wait"
"Case 1216","Question","Premium","High","Res3",18,"False/No-Wait"
"Case 1217","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1218","Task","Premium","Normal","Res3",18,"True/Wait"
"Case 1219","Task","Gold","Normal","Res8",18,"False/No-Wait"
"Case 122","Question","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1220","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1221","Task","Gold","Normal","Res8",18,"True/Wait"
"Case 1222","Incident","Premium","High","Res3",18,"False/No-Wait"
"Case 1223","Question","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1224","Incident","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1225","Incident","Premium","High","Res3",18,"False/No-Wait"
"Case 1226","Question","Gold","High","Res4",18,"False/No-Wait"
"Case 1227","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1228","Incident","Gold","High","Res8",18,"False/No-Wait"
"Case 1229","Incident","Premium","Normal","Res4",18,"False/No-Wait"
"Case 123","Task","Gold","Normal","Res8",18,"True/Wait"
"Case 1230","Task","Gold","Normal","Res8",18,"False/No-Wait"
"Case 1231","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1232","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1233","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1234","Task","Gold","Normal","Res8",18,"True/Wait"
"Case 1235","Task","Premium","Urgent","Res8",18,"True/Wait"
"Case 1236","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1237","Question","Gold","Normal","Res4",18,"False/No-Wait"
"Case 1238","Task","Gold","Normal","Res4",18,"True/Wait"
"Case 1239","Incident","Gold","Normal","Res3",18,"True/Wait"
"Case 124","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1240","Task","Premium","High","Res8",18,"False/No-Wait"
"Case 1241","Question","Premium","High","Res3",18,"False/No-Wait"
"Case 1242","Task","Premium","Normal","Res3",18,"False/No-Wait"
"Case 1243","Question","Gold","Normal","Res3",18,"False/No-Wait"
"Case 1244","Task","Premium","High","Res3",18,"False/No-Wait"
"Case 1245","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1246","Task","Premium","Normal","Res4",18,"True/Wait"
"Case 1247","Task","Premium","Normal","Res8",18,"True/Wait"
"Case 1248","Task","Premium","High","Res3",18,"True/Wait"
"Case 1249","Task","Gold","Normal","Res4",19,"True/Wait"
"Case 125","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 1250","Task","Premium","Normal","Res3",19,"True/Wait"
"Case 1251","Question","Premium","Normal","Res3",19,"True/Wait"
"Case 1252","Task","Premium","High","Res4",19,"False/No-Wait"
"Case 1253","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1254","Task","Premium","Normal","Res4",19,"True/Wait"
"Case 1255","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 1256","Task","Premium","High","Res3",19,"True/Wait"
"Case 1257","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1258","Task","Premium","High","Res8",19,"False/No-Wait"
"Case 1259","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 126","Incident","Premium","Normal","Res3",19,"False/No-Wait"
"Case 1260","Question","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1261","Task","Premium","Normal","Res3",19,"False/No-Wait"
"Case 1262","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1263","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1264","Question","Premium","High","Res3",19,"True/Wait"
"Case 1265","Question","Gold","Urgent","Res8",19,"False/No-Wait"
"Case 1266","Question","Gold","High","Res8",19,"False/No-Wait"
"Case 1267","Question","Premium","High","Res4",19,"False/No-Wait"
"Case 1268","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1269","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 127","Question","Gold","High","Res4",19,"False/No-Wait"
"Case 1270","Question","Premium","High","Res4",19,"True/Wait"
"Case 1271","Incident","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1272","Incident","Premium","High","Res3",19,"False/No-Wait"
"Case 1273","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1274","Question","Premium","High","Res4",19,"False/No-Wait"
"Case 1275","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1276","Incident","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1277","Incident","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1278","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1279","Question","Gold","Urgent","Res3",19,"False/No-Wait"
"Case 128","Question","Gold","High","Res4",19,"False/No-Wait"
"Case 1280","Incident","Premium","High","Res4",19,"False/No-Wait"
"Case 1281","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1282","Task","Premium","Normal","Res3",19,"True/Wait"
"Case 1283","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1284","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1285","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1286","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1287","Question","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1288","Incident","Premium","Normal","Res3",19,"True/Wait"
"Case 1289","Incident","Gold","Normal","Res3",19,"False/No-Wait"
"Case 129","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1290","Incident","Gold","High","Res4",19,"False/No-Wait"
"Case 1291","Incident","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1292","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1293","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1294","Question","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1295","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1296","Question","Gold","High","Res8",19,"False/No-Wait"
"Case 1297","Task","Premium","High","Res8",19,"False/No-Wait"
"Case 1298","Question","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1299","Task","Premium","High","Res8",19,"True/Wait"
"Case 13","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 130","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1300","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1301","Task","Premium","Normal","Res4",19,"True/Wait"
"Case 1302","Task","Premium","High","Res3",19,"True/Wait"
"Case 1303","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1304","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 1305","Task","Gold","High","Res8",19,"False/No-Wait"
"Case 1306","Incident","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1307","Question","Premium","Normal","Res4",19,"True/Wait"
"Case 1308","Incident","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1309","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 131","Task","Gold","High","Res8",19,"False/No-Wait"
"Case 1310","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 1311","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1312","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1313","Task","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1314","Task","Premium","Normal","Res3",19,"False/No-Wait"
"Case 1315","Task","Premium","Urgent","Res8",19,"True/Wait"
"Case 1316","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1317","Incident","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1318","Question","Gold","Normal","Res3",19,"False/No-Wait"
"Case 1319","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 132","Question","Premium","Normal","Res3",19,"True/Wait"
"Case 1320","Question","Premium","Normal","Res3",19,"False/No-Wait"
"Case 1321","Task","Premium","Normal","Res8",19,"True/Wait"
"Case 1322","Incident","Premium","High","Res4",19,"True/Wait"
"Case 1323","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1324","Question","Premium","High","Res3",19,"False/No-Wait"
"Case 1325","Incident","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1326","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1327","Task","Premium","Normal","Res3",19,"True/Wait"
"Case 1328","Task","Gold","Normal","Res4",19,"True/Wait"
"Case 1329","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 133","Incident","Premium","Urgent","Res3",19,"False/No-Wait"
"Case 1330","Task","Premium","Normal","Res4",19,"False/No-Wait"
"Case 1331","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1332","Task","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1333","Question","Premium","High","Res4",19,"True/Wait"
"Case 1334","Task","Premium","Normal","Res3",19,"True/Wait"
"Case 1335","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1336","Question","Gold","High","Res3",19,"False/No-Wait"
"Case 1337","Task","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1338","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1339","Task","Premium","Normal","Res3",19,"True/Wait"
"Case 134","Question","Gold","Normal","Res4",19,"False/No-Wait"
"Case 1340","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1341","Question","Gold","Normal","Res8",19,"False/No-Wait"
"Case 1342","Task","Premium","Normal","Res8",19,"False/No-Wait"
"Case 1343","Task","Premium","High","Res8",19,"True/Wait"
"Case 1344","Question","Gold","High","Res3",19,"False/No-Wait"
"Case 1345","Task","Premium","High","Res3",20,"True/Wait"
"Case 1346","Task","Premium","Normal","Res3",20,"True/Wait"
"Case 1347","Question","Gold","Normal","Res3",20,"False/No-Wait"
"Case 1348","Question","Gold","Normal","Res3",20,"False/No-Wait"
"Case 1349","Task","Premium","Normal","Res3",20,"True/Wait"
"Case 135","Task","Premium","Normal","Res3",20,"True/Wait"
"Case 1350","Incident","Premium","Normal","Res8",20,"True/Wait"
"Case 1351","Task","Premium","Normal","Res3",20,"False/No-Wait"
"Case 1352","Question","Gold","High","Res4",20,"False/No-Wait"
"Case 1353","Task","Premium","High","Res4",20,"True/Wait"
"Case 1354","Task","Premium","Normal","Res8",20,"True/Wait"
"Case 1355","Task","Gold","Normal","Res8",20,"False/No-Wait"
"Case 1356","Task","Gold","High","Res4",20,"False/No-Wait"
"Case 1357","Incident","Premium","High","Res8",20,"False/No-Wait"
"Case 1358","Task","Premium","Normal","Res8",20,"True/Wait"
"Case 1359","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 136","Incident","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1360","Incident","Gold","High","Res8",21,"False/No-Wait"
"Case 1361","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1362","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1363","Incident","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1364","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1365","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1366","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1367","Incident","Gold","High","Res3",21,"False/No-Wait"
"Case 1368","Incident","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1369","Incident","Premium","Normal","Res3",21,"True/Wait"
"Case 137","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1370","Task","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1371","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 1372","Incident","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1373","Task","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1374","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1375","Task","Premium","Normal","Res3",21,"False/No-Wait"
