Case ID,Ticket type,Membership
Case 3459,Question,Premium
Case 4564,Task,Premium
Case 4310,Question,Premium
Case 1985,Question,Gold
Case 862,Task,Premium
Case 327,Question,Gold
Case 4143,Question,Gold
Case 4177,Task,Premium
Case 870,Task,Gold
Case 1594,Question,Gold
Case 663,Question,Gold
Case 1981,Incident,Gold
Case 2005,Task,Premium
Case 215,Task,Gold
Case 3116,Question,Gold
Case 3179,Task,Premium
Case 2862,Question,Gold
Case 1806,Question,Gold
Case 2119,Task,Premium
Case 139,Question,Gold
Case 1904,Task,Premium
Case 342,Task,Premium
Case 987,Incident,Gold
Case 625,Task,Gold
Case 710,Question,Gold
Case 3967,Question,Gold
Case 2020,Question,Premium
Case 3151,Task,Premium
Case 920,Question,Gold
Case 2173,Question,Premium
Case 2786,Question,Gold
Case 694,Question,Premium
Case 2624,Task,Gold
Case 4105,Incident,Premium
Case 4327,Task,Premium
Case 1589,Incident,Premium
Case 2959,Task,Premium
Case 3703,Incident,Premium
Case 3001,Task,Premium
Case 1561,Question,Premium
Case 814,Task,Premium
Case 3244,Task,Premium
Case 935,Task,Premium
Case 3460,Question,Premium
Case 3852,Task,Premium
Case 1714,Task,Premium
Case 4288,Question,Premium
Case 1713,Incident,Gold
Case 2453,Incident,Gold
Case 2325,Question,Gold
Case 1367,Incident,Gold
Case 3863,Incident,Gold
Case 1385,Incident,Premium
Case 24,Task,Premium
Case 1376,Task,Premium
Case 2329,Incident,Gold
Case 612,Task,Premium
Case 1959,Question,Gold
Case 1121,Task,Gold
Case 1253,Task,Premium
Case 245,Incident,Premium
Case 2138,Incident,Gold
Case 560,Task,Premium
Case 3978,Task,Gold
Case 2249,Question,Gold
Case 3886,Task,Premium
Case 469,Question,Gold
Case 2693,Question,Gold
Case 3837,Task,Premium
Case 1766,Question,Gold
Case 4376,Incident,Premium
Case 4264,Question,Premium
Case 3893,Incident,Premium
Case 2673,Incident,Gold
Case 376,Task,Premium
Case 4243,Question,Gold
Case 591,Task,Gold
Case 301,Incident,Gold
Case 4375,Task,Premium
Case 113,Incident,Gold
Case 9,Question,Premium
Case 4098,Incident,Gold
Case 2206,Task,Premium
Case 2301,Task,Premium
Case 4497,Question,Premium
Case 4296,Question,Gold
Case 3196,Task,Premium
Case 2845,Question,Premium
Case 2114,Task,Premium
Case 3603,Task,Premium
Case 2418,Task,Premium
Case 2320,Question,Gold
Case 1044,Question,Premium
Case 2828,Task,Premium
Case 3590,Task,Premium
Case 294,Question,Gold
Case 1853,Task,Premium
Case 2288,Question,Premium
Case 2340,Question,Gold
Case 3350,Question,Gold
Case 4345,Question,Gold
Case 2412,Question,Gold
Case 3615,Question,Gold
Case 2863,Task,Premium
Case 1283,Question,Gold
Case 1807,Question,Gold
Case 2507,Question,Premium
Case 1499,Task,Premium
Case 1021,Question,Premium
Case 1757,Task,Premium
Case 1821,Task,Premium
Case 4285,Task,Premium
Case 3580,Task,Premium
Case 183,Task,Premium
Case 182,Incident,Premium
Case 2208,Task,Premium
Case 1184,Incident,Gold
Case 3386,Incident,Premium
Case 2671,Question,Gold
Case 4263,Task,Premium
Case 1211,Task,Gold
Case 278,Task,Premium
Case 2423,Question,Gold
Case 1151,Incident,Premium
Case 2638,Task,Gold
Case 3780,Question,Premium
Case 1585,Question,Premium
Case 1012,Incident,Premium
Case 3566,Question,Premium
Case 858,Question,Gold
Case 2649,Question,Gold
Case 3522,Question,Gold
Case 3230,Question,Gold
Case 3368,Question,Premium
Case 3850,Question,Gold
Case 2544,Task,Gold
Case 2909,Task,Premium
Case 2136,Incident,Premium
Case 2954,Question,Gold
Case 1402,Task,Premium
Case 1284,Question,Gold
Case 1850,Question,Premium
Case 2562,Task,Gold
Case 918,Question,Gold
Case 572,Incident,Premium
Case 702,Question,Gold
Case 2272,Question,Premium
Case 2812,Task,Premium
Case 3541,Question,Gold
Case 1333,Question,Premium
Case 2411,Question,Gold
Case 1851,Question,Gold
Case 2467,Task,Premium
Case 1973,Question,Gold
Case 2829,Question,Gold
Case 1322,Incident,Premium
Case 4387,Task,Premium
Case 3256,Question,Premium
Case 103,Task,Premium
Case 1654,Question,Gold
Case 275,Task,Gold
Case 703,Task,Gold
Case 2746,Question,Premium
Case 2460,Question,Gold
Case 1080,Task,Premium
Case 1351,Task,Premium
Case 4275,Task,Premium
Case 1872,Task,Premium
Case 2706,Question,Premium
Case 2590,Question,Gold
Case 203,Question,Premium
Case 3911,Question,Premium
Case 2816,Task,Gold
Case 3132,Question,Gold
Case 3607,Task,Premium
Case 1774,Question,Premium
Case 2983,Question,Gold
Case 4066,Task,Premium
Case 2057,Task,Premium
Case 4150,Task,Premium
Case 101,Question,Premium
Case 2053,Task,Premium
Case 3415,Question,Gold
Case 838,Task,Premium
Case 2389,Task,Gold
Case 4524,Question,Gold
Case 1809,Task,Premium
Case 1173,Task,Premium
Case 4477,Question,Premium
Case 2835,Incident,Gold
Case 1099,Incident,Gold
Case 1446,Task,Gold
Case 234,Task,Gold
Case 4101,Task,Gold
Case 2639,Task,Premium
Case 3680,Task,Premium
Case 1755,Task,Premium
Case 4169,Question,Gold
Case 4342,Task,Premium
Case 111,Task,Premium
Case 2338,Task,Premium
Case 1783,Task,Premium
Case 971,Question,Premium
Case 3750,Question,Gold
Case 2940,Task,Premium
Case 2058,Task,Premium
Case 1204,Task,Premium
Case 547,Task,Premium
Case 2175,Task,Premium
Case 3554,Question,Gold
Case 455,Task,Premium
Case 3167,Question,Gold
Case 3693,Question,Gold
Case 321,Task,Premium
Case 3553,Task,Premium
Case 1282,Task,Premium
Case 2892,Task,Gold
Case 2370,Task,Premium
Case 1180,Task,Premium
Case 2457,Task,Premium
Case 1528,Question,Premium
Case 2349,Task,Premium
Case 419,Task,Premium
Case 3644,Question,Premium
Case 2605,Task,Premium
Case 1523,Question,Gold
Case 3910,Question,Gold
Case 19,Question,Gold
Case 1518,Task,Premium
Case 3354,Task,Premium
Case 1720,Question,Premium
Case 792,Task,Premium
Case 2888,Incident,Premium
Case 2428,Question,Gold
Case 734,Task,Premium
Case 1881,Task,Gold
Case 4440,Task,Premium
Case 1923,Question,Premium
Case 2732,Task,Premium
Case 2299,Task,Premium
Case 3527,Task,Premium
Case 1183,Question,Gold
Case 416,Task,Premium
Case 388,Task,Premium
Case 3421,Task,Premium
Case 3977,Task,Premium
Case 2205,Incident,Gold
Case 2439,Task,Premium
Case 2501,Task,Gold
Case 4079,Question,Gold
Case 379,Task,Premium
Case 793,Question,Gold
Case 3636,Question,Gold
Case 3596,Question,Gold
Case 3809,Question,Gold
Case 2153,Task,Premium
Case 2309,Incident,Gold
Case 1930,Question,Gold
Case 2298,Task,Gold
Case 297,Question,Gold
Case 4065,Incident,Gold
Case 632,Incident,Gold
Case 689,Incident,Premium
Case 3937,Question,Premium
Case 3452,Incident,Gold
Case 924,Question,Premium
Case 4374,Question,Gold
Case 1576,Incident,Premium
Case 4339,Task,Gold
Case 1670,Task,Premium
Case 268,Question,Gold
Case 4062,Incident,Gold
Case 2443,Task,Premium
Case 238,Incident,Premium
Case 2051,Task,Premium
Case 3840,Question,Gold
Case 4579,Question,Gold
Case 1572,Task,Premium
Case 2578,Incident,Gold
Case 1782,Question,Gold
Case 4075,Task,Premium
Case 3163,Question,Gold
Case 1340,Question,Gold
Case 1684,Task,Premium
Case 3784,Task,Gold
Case 715,Task,Premium
Case 727,Task,Premium
Case 1247,Task,Premium
Case 1438,Incident,Premium
Case 3177,Question,Gold
Case 2636,Task,Gold
Case 1218,Task,Premium
Case 1617,Task,Premium
Case 1266,Question,Gold
Case 1491,Task,Premium
Case 2475,Task,Premium
Case 2339,Task,Premium
Case 4482,Incident,Premium
Case 3441,Task,Premium
Case 3292,Question,Gold
Case 973,Task,Premium
Case 2464,Incident,Premium
Case 2307,Question,Gold
Case 1242,Task,Premium
Case 735,Question,Gold
Case 2067,Task,Premium
Case 2871,Task,Premium
Case 2486,Task,Premium
Case 1859,Question,Gold
Case 2560,Task,Premium
Case 1794,Question,Gold
Case 2957,Question,Gold
Case 4384,Task,Gold
Case 2819,Task,Premium
Case 161,Incident,Gold
Case 798,Task,Premium
Case 1557,Task,Premium
Case 3248,Question,Gold
Case 3266,Question,Gold
Case 2790,Task,Premium
Case 1676,Question,Gold
Case 992,Task,Premium
Case 1141,Task,Premium
Case 4428,Task,Premium
Case 3228,Task,Premium
Case 1657,Question,Premium
Case 2561,Question,Gold
Case 919,Task,Premium
Case 665,Task,Gold
Case 125,Task,Premium
Case 2405,Task,Premium
Case 335,Question,Gold
Case 3287,Task,Premium
Case 1925,Question,Gold
Case 4258,Question,Gold
Case 1953,Question,Gold
Case 2889,Question,Gold
Case 985,Question,Gold
Case 3586,Task,Gold
Case 3523,Task,Premium
Case 1002,Task,Gold
Case 2271,Question,Gold
Case 3079,Task,Premium
Case 1928,Question,Premium
Case 3917,Question,Premium
Case 1494,Question,Gold
Case 1593,Task,Premium
Case 1077,Task,Premium
Case 1879,Task,Premium
Case 1728,Task,Premium
Case 2922,Question,Gold
Case 4307,Question,Premium
Case 1280,Incident,Premium
Case 3981,Task,Premium
Case 2564,Question,Gold
Case 1849,Incident,Premium
Case 316,Task,Premium
Case 610,Question,Gold
Case 926,Question,Gold
Case 1426,Question,Gold
Case 3856,Question,Gold
Case 540,Question,Premium
Case 3080,Question,Gold
Case 4561,Incident,Premium
Case 771,Task,Premium
Case 1202,Incident,Gold
Case 3752,Question,Gold
Case 2702,Question,Gold
Case 2359,Question,Gold
Case 2159,Incident,Gold
Case 830,Question,Gold
Case 2810,Incident,Premium
Case 917,Question,Gold
Case 289,Question,Gold
Case 3117,Question,Gold
Case 2858,Incident,Gold
Case 3815,Question,Premium
Case 2446,Task,Premium
Case 1694,Question,Premium
Case 585,Question,Gold
Case 4045,Task,Premium
Case 1989,Incident,Gold
Case 3589,Incident,Gold
Case 2222,Task,Premium
Case 759,Question,Premium
Case 2086,Incident,Gold
Case 3490,Task,Premium
Case 3993,Task,Premium
Case 1549,Task,Premium
Case 1353,Task,Premium
Case 4250,Question,Premium
Case 4033,Question,Premium
Case 2336,Incident,Premium
Case 1532,Task,Gold
Case 2169,Task,Premium
Case 2042,Question,Gold
Case 2500,Task,Premium
Case 662,Question,Gold
Case 3050,Task,Premium
Case 833,Question,Gold
Case 1165,Question,Gold
Case 4514,Question,Premium
Case 1597,Question,Gold
Case 423,Incident,Gold
Case 420,Question,Gold
Case 3031,Question,Gold
Case 1018,Task,Premium
Case 4024,Incident,Gold
Case 1155,Task,Premium
Case 3990,Question,Gold
Case 1695,Task,Premium
Case 172,Task,Gold
Case 925,Incident,Premium
Case 3858,Question,Gold
Case 2717,Question,Gold
Case 1258,Task,Premium
Case 661,Question,Gold
Case 1410,Question,Gold
Case 4237,Task,Premium
Case 2107,Question,Gold
Case 2155,Incident,Gold
Case 1279,Question,Gold
Case 358,Question,Gold
Case 3690,Task,Gold
Case 2650,Incident,Premium
Case 3734,Question,Premium
Case 4088,Question,Gold
Case 2999,Question,Gold
Case 2181,Question,Gold
Case 1759,Question,Gold
Case 3012,Task,Premium
Case 1749,Question,Gold
Case 815,Question,Gold
Case 4510,Question,Gold
Case 1357,Incident,Premium
Case 306,Question,Gold
Case 3716,Question,Gold
Case 1542,Task,Premium
Case 158,Question,Gold
Case 4500,Incident,Premium
Case 3949,Question,Gold
Case 3548,Question,Gold
Case 195,Task,Gold
Case 2953,Task,Premium
Case 3369,Question,Gold
Case 1425,Incident,Premium
Case 2995,Question,Gold
Case 2445,Question,Gold
Case 2254,Question,Gold
Case 228,Question,Gold
Case 3098,Question,Gold
Case 396,Incident,Premium
Case 2647,Question,Gold
Case 4138,Question,Gold
Case 4402,Question,Premium
Case 88,Question,Premium
Case 4130,Question,Gold
Case 1582,Task,Premium
Case 4225,Question,Gold
Case 965,Task,Gold
Case 509,Task,Premium
Case 2920,Task,Premium
Case 1428,Incident,Premium
Case 977,Task,Premium
Case 109,Task,Premium
Case 890,Task,Premium
Case 3411,Question,Premium
Case 907,Task,Premium
Case 690,Question,Gold
Case 4072,Question,Gold
Case 3771,Question,Premium
Case 164,Question,Gold
Case 2756,Question,Gold
Case 2872,Task,Premium
Case 1237,Question,Gold
Case 2102,Task,Premium
Case 4195,Task,Premium
Case 2805,Question,Premium
Case 1786,Task,Premium
Case 4331,Question,Gold
Case 1085,Question,Premium
Case 1581,Question,Gold
Case 4167,Question,Gold
Case 2280,Question,Gold
Case 1864,Task,Premium
Case 2319,Task,Premium
Case 3813,Question,Premium
Case 1899,Task,Premium
Case 4451,Question,Premium
Case 2221,Task,Premium
Case 889,Task,Premium
Case 3887,Question,Premium
Case 175,Question,Gold
Case 1152,Question,Gold
Case 2838,Task,Premium
Case 3740,Task,Gold
Case 3940,Incident,Gold
Case 2718,Question,Gold
Case 146,Question,Gold
Case 330,Incident,Premium
Case 1919,Incident,Premium
Case 2165,Question,Gold
Case 3508,Task,Gold
Case 781,Task,Premium
Case 3788,Question,Gold
Case 3722,Task,Premium
Case 4321,Question,Premium
Case 450,Incident,Gold
Case 4059,Question,Premium
Case 4092,Question,Gold
Case 428,Task,Premium
Case 1150,Question,Gold
Case 2011,Question,Gold
Case 3510,Task,Premium
Case 4019,Task,Premium
Case 208,Question,Gold
Case 4036,Task,Premium
Case 1662,Incident,Premium
Case 1278,Question,Gold
Case 291,Task,Premium
Case 4442,Incident,Premium
Case 774,Question,Gold
Case 2513,Incident,Premium
Case 2784,Question,Premium
Case 53,Task,Premium
Case 163,Question,Gold
Case 3463,Question,Gold
Case 4128,Question,Gold
Case 4203,Question,Gold
Case 713,Task,Premium
Case 260,Task,Premium
Case 3193,Question,Gold
Case 3595,Task,Premium
Case 4462,Question,Gold
Case 2444,Question,Premium
Case 948,Incident,Premium
Case 1232,Question,Gold
Case 3365,Question,Gold
Case 231,Task,Premium
Case 640,Task,Gold
Case 1618,Question,Gold
Case 1733,Question,Premium
Case 4217,Question,Gold
Case 642,Question,Premium
Case 1461,Task,Gold
Case 2565,Incident,Gold
Case 2520,Task,Premium
Case 3101,Question,Premium
Case 1551,Question,Premium
Case 2938,Question,Gold
Case 1220,Question,Gold
Case 2235,Task,Premium
Case 1498,Question,Premium
Case 2483,Task,Premium
Case 1100,Task,Premium
Case 1382,Task,Premium
Case 393,Task,Gold
Case 187,Question,Gold
Case 1166,Question,Gold
Case 3363,Question,Gold
Case 2807,Question,Gold
Case 3835,Task,Premium
Case 3686,Question,Gold
Case 1231,Question,Gold
Case 1863,Question,Gold
Case 3956,Question,Premium
Case 3528,Incident,Gold
Case 852,Question,Gold
Case 3209,Question,Gold
Case 3306,Incident,Gold
Case 2806,Question,Gold
Case 2283,Question,Gold
Case 3340,Question,Gold
Case 2045,Question,Gold
Case 2728,Question,Gold
Case 3310,Question,Gold
Case 2925,Task,Premium
Case 246,Task,Premium
Case 1454,Question,Premium
Case 4356,Incident,Premium
Case 4277,Question,Gold
Case 2233,Question,Gold
Case 57,Question,Premium
Case 1779,Task,Premium
Case 3,Incident,Premium
Case 3619,Task,Premium
Case 3757,Incident,Gold
Case 1383,Incident,Premium
Case 1579,Question,Gold
Case 185,Incident,Premium
Case 2101,Task,Premium
Case 966,Task,Premium
Case 1224,Incident,Gold
Case 4043,Incident,Premium
Case 3030,Task,Premium
Case 1929,Question,Premium
Case 1273,Question,Gold
Case 1307,Question,Premium
Case 3311,Question,Premium
Case 2540,Question,Gold
Case 873,Question,Gold
Case 1567,Task,Premium
Case 2547,Question,Gold
Case 4047,Question,Gold
Case 2730,Question,Gold
Case 2408,Question,Gold
Case 1947,Incident,Premium
Case 315,Task,Premium
Case 1705,Question,Premium
Case 3621,Question,Gold
Case 1906,Question,Gold
Case 895,Task,Premium
Case 3975,Question,Premium
Case 1440,Question,Gold
Case 4486,Question,Premium
Case 2548,Question,Gold
Case 903,Incident,Premium
Case 786,Task,Premium
Case 4366,Question,Gold
Case 4157,Question,Premium
Case 801,Question,Premium
Case 913,Question,Gold
Case 2778,Task,Gold
Case 4050,Question,Gold
Case 3114,Incident,Premium
Case 2633,Incident,Premium
Case 3234,Task,Gold
Case 1706,Question,Gold
Case 1347,Question,Gold
Case 173,Question,Premium
Case 2223,Question,Premium
Case 2524,Task,Premium
Case 410,Question,Gold
Case 3759,Question,Gold
Case 1123,Question,Gold
Case 617,Question,Gold
Case 2709,Question,Premium
Case 2563,Question,Gold
Case 1832,Task,Premium
Case 3827,Question,Gold
Case 2658,Incident,Gold
Case 1474,Question,Gold
Case 1830,Question,Gold
Case 3997,Incident,Gold
Case 3298,Incident,Premium
Case 2824,Task,Premium
Case 779,Question,Premium
Case 3213,Task,Premium
Case 2310,Task,Premium
Case 1996,Task,Premium
Case 2028,Question,Gold
Case 302,Incident,Gold
Case 4316,Question,Gold
Case 3312,Question,Gold
Case 254,Question,Gold
Case 3232,Question,Gold
Case 3701,Question,Gold
Case 2980,Question,Gold
Case 4303,Task,Premium
Case 2186,Question,Gold
Case 3359,Task,Gold
Case 837,Question,Gold
Case 2422,Question,Gold
Case 244,Incident,Gold
Case 3616,Question,Premium
Case 353,Incident,Gold
Case 2016,Question,Gold
Case 1964,Incident,Gold
Case 2629,Question,Gold
Case 322,Task,Premium
Case 280,Question,Premium
Case 2583,Task,Premium
Case 1976,Question,Gold
Case 2413,Question,Premium
Case 4573,Task,Premium
Case 1289,Incident,Gold
Case 3085,Task,Premium
Case 1640,Question,Premium
Case 411,Question,Premium
Case 2243,Incident,Premium
Case 4470,Question,Gold
Case 1515,Question,Gold
Case 4520,Question,Gold
Case 44,Question,Gold
Case 4227,Task,Premium
Case 298,Question,Gold
Case 2965,Task,Premium
Case 452,Question,Premium
Case 48,Question,Gold
Case 1625,Question,Gold
Case 4099,Incident,Premium
Case 2901,Task,Premium
Case 576,Question,Gold
Case 2928,Question,Gold
Case 3624,Question,Gold
Case 258,Task,Gold
Case 4306,Question,Gold
Case 2662,Task,Premium
Case 3326,Incident,Premium
Case 2543,Task,Premium
Case 3305,Task,Premium
Case 2529,Incident,Gold
Case 851,Task,Gold
Case 3066,Question,Premium
Case 2437,Question,Gold
Case 4480,Task,Premium
Case 3356,Question,Gold
Case 1622,Task,Premium
Case 3087,Incident,Gold
Case 205,Task,Premium
Case 4425,Incident,Premium
Case 3965,Question,Premium
Case 3479,Task,Premium
Case 1613,Question,Gold
Case 3684,Question,Gold
Case 4393,Task,Gold
Case 582,Task,Premium
Case 84,Question,Gold
Case 1595,Incident,Premium
Case 912,Task,Premium
Case 871,Incident,Gold
Case 1048,Task,Premium
Case 4488,Incident,Gold
Case 41,Question,Gold
Case 1148,Question,Gold
Case 2877,Question,Gold
Case 590,Question,Gold
Case 3330,Question,Premium
Case 3991,Question,Premium
Case 155,Task,Premium
Case 1765,Task,Premium
Case 4022,Question,Premium
Case 385,Incident,Gold
Case 562,Question,Gold
Case 1310,Task,Premium
Case 3247,Question,Gold
Case 4400,Incident,Premium
Case 4,Question,Gold
Case 555,Incident,Premium
Case 4229,Task,Premium
Case 110,Question,Gold
Case 4312,Question,Gold
Case 3302,Question,Gold
Case 2274,Task,Premium
Case 1360,Incident,Gold
Case 2289,Task,Premium
Case 4473,Question,Gold
Case 4095,Question,Gold
Case 3514,Question,Gold
Case 1891,Question,Gold
Case 1422,Task,Premium
Case 1035,Incident,Premium
Case 2392,Task,Premium
Case 2725,Question,Premium
Case 1554,Task,Gold
Case 1636,Question,Premium
Case 1633,Task,Premium
Case 1308,Incident,Gold
Case 1297,Task,Premium
Case 1005,Task,Premium
Case 1298,Question,Premium
Case 2733,Incident,Premium
Case 1758,Task,Premium
Case 2798,Task,Gold
Case 2743,Task,Premium
Case 608,Question,Premium
Case 3153,Question,Gold
Case 4523,Question,Premium
Case 1003,Task,Premium
Case 996,Task,Premium
Case 3874,Task,Premium
Case 4141,Task,Premium
Case 1421,Task,Gold
Case 1051,Incident,Premium
Case 3706,Question,Gold
Case 3170,Task,Premium
Case 1641,Task,Premium
Case 3217,Task,Premium
Case 4499,Task,Premium
Case 320,Task,Premium
Case 1028,Task,Gold
Case 1014,Task,Premium
Case 1805,Question,Gold
Case 359,Task,Premium
Case 1889,Question,Premium
Case 3200,Question,Gold
Case 319,Task,Premium
Case 3505,Task,Premium
Case 2115,Task,Gold
Case 365,Question,Gold
Case 601,Task,Premium
Case 3817,Task,Premium
Case 3504,Task,Premium
Case 3366,Task,Premium
Case 25,Question,Premium
Case 3973,Task,Gold
Case 67,Task,Gold
Case 3319,Task,Premium
Case 3639,Question,Gold
Case 611,Question,Gold
Case 3841,Task,Premium
Case 4283,Question,Gold
Case 1538,Task,Gold
Case 2503,Question,Premium
Case 3183,Task,Premium
Case 1424,Task,Premium
Case 4146,Question,Gold
Case 3296,Task,Premium
Case 2314,Question,Gold
Case 750,Incident,Premium
Case 915,Question,Premium
Case 1381,Question,Gold
Case 1213,Question,Premium
Case 1403,Task,Premium
Case 835,Task,Premium
Case 3631,Question,Gold
Case 2855,Question,Gold
Case 4525,Question,Premium
Case 422,Incident,Premium
Case 974,Task,Premium
Case 4489,Question,Gold
Case 355,Task,Premium
Case 725,Incident,Premium
Case 1194,Question,Gold
Case 2864,Task,Premium
Case 879,Question,Gold
Case 2331,Question,Gold
Case 2943,Task,Premium
Case 3345,Question,Gold
Case 2878,Task,Gold
Case 1276,Incident,Premium
Case 4543,Question,Gold
Case 2726,Task,Premium
Case 1147,Task,Premium
Case 865,Question,Premium
Case 4016,Task,Premium
Case 2652,Task,Premium
Case 256,Task,Premium
Case 4548,Incident,Premium
Case 1240,Task,Premium
Case 3493,Question,Gold
Case 141,Incident,Premium
Case 1631,Question,Premium
Case 108,Task,Gold
Case 2435,Task,Premium
Case 933,Task,Premium
Case 2291,Task,Premium
Case 1414,Task,Premium
Case 672,Task,Premium
Case 2144,Question,Premium
Case 2184,Task,Premium
Case 1513,Task,Premium
Case 4182,Question,Gold
Case 803,Question,Gold
Case 861,Task,Gold
Case 1504,Task,Premium
Case 2527,Question,Premium
Case 21,Incident,Gold
Case 3433,Question,Premium
Case 473,Task,Premium
Case 1300,Question,Gold
Case 2337,Task,Gold
Case 1391,Task,Premium
Case 3892,Incident,Premium
Case 929,Task,Gold
Case 1954,Task,Premium
Case 2385,Incident,Gold
Case 4439,Question,Gold
Case 3954,Question,Premium
Case 2196,Question,Gold
Case 1140,Task,Premium
Case 236,Task,Premium
Case 884,Task,Gold
Case 252,Incident,Premium
Case 4038,Task,Premium
Case 4003,Incident,Premium
Case 3147,Task,Premium
Case 30,Task,Premium
Case 2355,Task,Premium
Case 4540,Incident,Gold
Case 2089,Incident,Gold
Case 2937,Task,Premium
Case 2048,Task,Gold
Case 3052,Task,Premium
Case 1948,Task,Gold
Case 3506,Task,Premium
Case 1866,Question,Premium
Case 3173,Incident,Gold
Case 72,Task,Premium
Case 3481,Question,Gold
Case 3197,Question,Premium
Case 214,Incident,Gold
Case 3868,Incident,Gold
Case 628,Task,Premium
Case 3308,Incident,Gold
Case 3384,Task,Gold
Case 2145,Task,Premium
Case 133,Incident,Premium
Case 1162,Question,Gold
Case 2856,Question,Gold
Case 104,Question,Gold
Case 3006,Task,Premium
Case 4140,Question,Gold
Case 499,Question,Premium
