CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,Performance class
"Case 1067","Question","Premium","Normal","Medium"
"Case 1068","Task","Premium","High","Long"
"Case 1069","Question","Gold","Normal","Short"
"Case 107","Task","Premium","Normal","Medium"
"Case 1070","Task","Premium","Normal","Medium"
"Case 1071","Task","Gold","Normal","Medium"
"Case 1072","Task","Gold","High","Long"
"Case 1073","Incident","Gold","Normal","Medium"
"Case 1074","Task","Premium","Normal","Medium"
"Case 1075","Task","Premium","Normal","Medium"
"Case 1076","Task","Premium","High","Long"
"Case 1077","Task","Premium","High","Long"
"Case 1078","Question","Gold","High","Medium"
"Case 1079","Task","Premium","Normal","Medium"
"Case 108","Task","Gold","Normal","Medium"
"Case 1080","Task","Premium","Normal","Medium"
"Case 1081","Task","Premium","Normal","Medium"
"Case 1082","Question","Premium","Normal","Long"
"Case 1083","Incident","Gold","Urgent","Short"
"Case 1084","Question","Premium","Normal","Long"
"Case 1085","Question","Premium","High","Long"
"Case 1086","Question","Gold","High","Long"
"Case 1087","Task","Premium","Normal","Short"
"Case 1088","Task","Premium","Normal","Short"
"Case 1089","Incident","Premium","Normal","Long"
"Case 109","Task","Premium","Normal","Long"
"Case 1090","Question","Gold","Normal","Short"
"Case 1091","Task","Premium","Normal","Short"
"Case 1092","Question","Gold","Normal","Long"
"Case 1093","Question","Gold","Normal","Medium"
"Case 1094","Question","Premium","Normal","Medium"
"Case 1095","Incident","Gold","Normal","Long"
"Case 1096","Task","Premium","Normal","Medium"
"Case 1097","Task","Premium","Normal","Medium"
"Case 1098","Incident","Premium","High","Short"
"Case 1099","Incident","Gold","Normal","Medium"
"Case 11","Question","Gold","Normal","Short"
"Case 110","Question","Gold","Normal","Long"
"Case 1100","Task","Premium","Normal","Medium"
"Case 1101","Task","Premium","Normal","Medium"
"Case 1102","Question","Premium","Normal","Medium"
"Case 1103","Question","Gold","Normal","Medium"
"Case 1104","Task","Premium","Normal","Long"
"Case 1105","Incident","Gold","High","Long"
"Case 1106","Question","Gold","Normal","Long"
"Case 1107","Task","Gold","High","Short"
"Case 1108","Question","Gold","Normal","Short"
"Case 1109","Task","Premium","Normal","Short"
"Case 111","Task","Premium","Normal","Medium"
"Case 1110","Task","Gold","Normal","Short"
"Case 1111","Task","Premium","High","Medium"
"Case 1112","Task","Premium","Normal","Long"
"Case 1113","Task","Premium","High","Long"
"Case 1114","Task","Premium","Normal","Medium"
"Case 1115","Question","Gold","Normal","Long"
"Case 1116","Task","Premium","Normal","Medium"
"Case 1117","Question","Premium","Urgent","Short"
"Case 1118","Task","Gold","High","Short"
"Case 1119","Incident","Gold","High","Medium"
"Case 112","Incident","Gold","Normal","Short"
"Case 1120","Question","Gold","Normal","Medium"
"Case 1121","Task","Gold","Normal","Short"
"Case 1122","Question","Gold","Normal","Medium"
"Case 1123","Question","Gold","Normal","Medium"
"Case 1124","Task","Premium","Normal","Short"
"Case 1125","Question","Gold","Normal","Short"
"Case 1126","Task","Gold","Normal","Short"
"Case 1127","Question","Gold","High","Short"
"Case 1128","Task","Gold","High","Short"
"Case 1129","Task","Premium","Normal","Medium"
"Case 113","Incident","Gold","Normal","Medium"
"Case 1130","Question","Gold","Normal","Long"
"Case 1131","Question","Gold","Normal","Short"
"Case 1132","Task","Gold","Normal","Medium"
"Case 1133","Question","Gold","Normal","Long"
"Case 1134","Question","Gold","High","Long"
"Case 1135","Task","Premium","Normal","Long"
"Case 1136","Question","Premium","High","Medium"
"Case 1137","Question","Gold","Normal","Long"
"Case 1138","Task","Premium","Normal","Long"
"Case 1139","Question","Gold","High","Short"
"Case 114","Task","Premium","Normal","Medium"
"Case 1140","Task","Premium","Normal","Long"
"Case 1141","Task","Premium","Normal","Long"
"Case 1142","Task","Premium","Normal","Long"
"Case 1143","Incident","Gold","High","Long"
"Case 1144","Task","Premium","Normal","Medium"
"Case 1145","Task","Premium","Normal","Medium"
"Case 1146","Question","Gold","High","Short"
"Case 1147","Task","Premium","Normal","Long"
"Case 1148","Question","Gold","Normal","Medium"
"Case 1149","Question","Gold","Normal","Medium"
"Case 115","Task","Premium","Normal","Long"
"Case 1150","Question","Gold","Normal","Short"
"Case 1151","Incident","Premium","Normal","Long"
"Case 1152","Question","Gold","Normal","Short"
"Case 1153","Task","Premium","Normal","Long"
"Case 1154","Question","Gold","Normal","Short"
"Case 1155","Task","Premium","Normal","Long"
"Case 1156","Incident","Premium","Normal","Long"
"Case 1157","Task","Premium","Normal","Medium"
"Case 1158","Task","Premium","High","Medium"
"Case 1159","Task","Premium","High","Short"
"Case 116","Question","Gold","Normal","Long"
"Case 1160","Question","Gold","Normal","Medium"
"Case 1161","Incident","Premium","Normal","Long"
"Case 1162","Question","Gold","Normal","Long"
"Case 1163","Question","Gold","Normal","Medium"
"Case 1164","Task","Premium","High","Medium"
"Case 1165","Question","Gold","Normal","Medium"
"Case 1166","Question","Gold","High","Short"
"Case 1167","Task","Premium","Normal","Long"
"Case 1168","Task","Premium","Normal","Long"
"Case 1169","Question","Gold","Normal","Long"
"Case 117","Incident","Premium","Normal","Long"
"Case 1170","Task","Gold","Normal","Short"
"Case 1171","Question","Gold","Normal","Long"
"Case 1172","Question","Premium","High","Short"
"Case 1173","Task","Premium","High","Medium"
"Case 1174","Question","Gold","Normal","Long"
"Case 1175","Task","Gold","Normal","Long"
"Case 1176","Task","Premium","High","Long"
"Case 1177","Incident","Premium","High","Short"
"Case 1178","Incident","Gold","Normal","Short"
"Case 1179","Task","Premium","High","Long"
"Case 118","Question","Gold","Normal","Medium"
"Case 1180","Task","Premium","Normal","Long"
"Case 1181","Question","Gold","Normal","Medium"
"Case 1182","Question","Gold","Normal","Short"
"Case 1183","Question","Gold","Normal","Medium"
"Case 1184","Incident","Gold","Normal","Medium"
"Case 1185","Question","Gold","Normal","Medium"
"Case 1186","Task","Gold","Normal","Short"
"Case 1187","Question","Gold","Normal","Long"
"Case 1188","Question","Premium","Normal","Medium"
"Case 1189","Incident","Premium","Normal","Long"
"Case 119","Task","Gold","High","Long"
"Case 1190","Question","Gold","Normal","Long"
"Case 1191","Task","Premium","Normal","Long"
"Case 1192","Task","Gold","Normal","Medium"
"Case 1193","Task","Premium","Urgent","Medium"
"Case 1194","Question","Gold","Normal","Long"
"Case 1195","Task","Premium","High","Medium"
"Case 1196","Incident","Gold","Normal","Long"
"Case 1197","Question","Premium","Normal","Long"
"Case 1198","Question","Gold","High","Long"
"Case 1199","Question","Gold","Normal","Short"
"Case 12","Question","Premium","Normal","Short"
"Case 120","Incident","Gold","Normal","Short"
"Case 1200","Incident","Gold","Normal","Short"
"Case 1201","Question","Gold","Normal","Long"
"Case 1202","Incident","Gold","Normal","Long"
"Case 1203","Task","Gold","Normal","Medium"
"Case 1204","Task","Premium","Normal","Long"
"Case 1205","Question","Gold","Normal","Short"
"Case 1206","Question","Premium","Normal","Short"
"Case 1207","Task","Premium","Normal","Medium"
"Case 1208","Question","Gold","Normal","Long"
"Case 1209","Incident","Gold","High","Long"
"Case 121","Question","Gold","Urgent","Long"
"Case 1210","Task","Premium","High","Medium"
"Case 1211","Task","Gold","Normal","Short"
"Case 1212","Question","Gold","Normal","Short"
"Case 1213","Question","Premium","Normal","Long"
"Case 1214","Question","Gold","Normal","Short"
"Case 1215","Question","Premium","High","Short"
"Case 1216","Question","Premium","High","Short"
"Case 1217","Task","Premium","Normal","Medium"
"Case 1218","Task","Premium","Normal","Medium"
"Case 1219","Task","Gold","Normal","Long"
"Case 122","Question","Gold","Normal","Medium"
"Case 1220","Question","Gold","Normal","Long"
"Case 1221","Task","Gold","Normal","Medium"
"Case 1222","Incident","Premium","High","Medium"
"Case 1223","Question","Premium","Normal","Medium"
"Case 1224","Incident","Gold","Normal","Medium"
"Case 1225","Incident","Premium","High","Long"
"Case 1226","Question","Gold","High","Short"
"Case 1227","Task","Premium","Normal","Long"
"Case 1228","Incident","Gold","High","Long"
"Case 1229","Incident","Premium","Normal","Medium"
"Case 123","Task","Gold","Normal","Medium"
"Case 1230","Task","Gold","Normal","Long"
"Case 1231","Question","Gold","Normal","Short"
"Case 1232","Question","Gold","Normal","Long"
"Case 1233","Question","Gold","Normal","Short"
"Case 1234","Task","Gold","Normal","Short"
"Case 1235","Task","Premium","Urgent","Short"
"Case 1236","Task","Premium","Normal","Long"
"Case 1237","Question","Gold","Normal","Short"
"Case 1238","Task","Gold","Normal","Short"
"Case 1239","Incident","Gold","Normal","Short"
"Case 124","Question","Gold","Normal","Medium"
"Case 1240","Task","Premium","High","Medium"
"Case 1241","Question","Premium","High","Long"
"Case 1242","Task","Premium","Normal","Long"
"Case 1243","Question","Gold","Normal","Short"
"Case 1244","Task","Premium","High","Medium"
"Case 1245","Task","Premium","Normal","Long"
"Case 1246","Task","Premium","Normal","Medium"
"Case 1247","Task","Premium","Normal","Short"
"Case 1248","Task","Premium","High","Medium"
"Case 1249","Task","Gold","Normal","Long"
"Case 125","Task","Premium","Normal","Medium"
"Case 1250","Task","Premium","Normal","Long"
"Case 1251","Question","Premium","Normal","Long"
"Case 1252","Task","Premium","High","Long"
"Case 1253","Task","Premium","Normal","Medium"
"Case 1254","Task","Premium","Normal","Medium"
"Case 1255","Task","Premium","Normal","Medium"
"Case 1256","Task","Premium","High","Medium"
"Case 1257","Question","Gold","Normal","Medium"
"Case 1258","Task","Premium","High","Medium"
"Case 1259","Question","Gold","Normal","Medium"
"Case 126","Incident","Premium","Normal","Long"
"Case 1260","Question","Premium","Normal","Short"
"Case 1261","Task","Premium","Normal","Short"
"Case 1262","Task","Premium","Normal","Medium"
"Case 1263","Question","Gold","Normal","Short"
"Case 1264","Question","Premium","High","Medium"
"Case 1265","Question","Gold","Urgent","Long"
"Case 1266","Question","Gold","High","Medium"
"Case 1267","Question","Premium","High","Short"
"Case 1268","Question","Gold","Normal","Medium"
"Case 1269","Task","Premium","Normal","Medium"
"Case 127","Question","Gold","High","Short"
"Case 1270","Question","Premium","High","Long"
"Case 1271","Incident","Gold","Normal","Short"
"Case 1272","Incident","Premium","High","Medium"
"Case 1273","Question","Gold","Normal","Medium"
"Case 1274","Question","Premium","High","Short"
"Case 1275","Task","Premium","Normal","Short"
"Case 1276","Incident","Premium","Normal","Medium"
"Case 1277","Incident","Gold","Normal","Short"
"Case 1278","Question","Gold","Normal","Medium"
"Case 1279","Question","Gold","Urgent","Medium"
"Case 128","Question","Gold","High","Short"
"Case 1280","Incident","Premium","High","Short"
"Case 1281","Question","Gold","Normal","Long"
"Case 1282","Task","Premium","Normal","Medium"
"Case 1283","Question","Gold","Normal","Medium"
"Case 1284","Question","Gold","Normal","Medium"
"Case 1285","Question","Gold","Normal","Medium"
"Case 1286","Question","Gold","Normal","Short"
"Case 1287","Question","Premium","Normal","Short"
"Case 1288","Incident","Premium","Normal","Medium"
"Case 1289","Incident","Gold","Normal","Long"
"Case 129","Task","Premium","Normal","Short"
"Case 1290","Incident","Gold","High","Medium"
"Case 1291","Incident","Gold","Normal","Medium"
"Case 1292","Task","Premium","Normal","Short"
"Case 1293","Question","Gold","Normal","Short"
"Case 1294","Question","Premium","Normal","Short"
"Case 1295","Question","Gold","Normal","Medium"
"Case 1296","Question","Gold","High","Medium"
"Case 1297","Task","Premium","High","Long"
"Case 1298","Question","Premium","Normal","Medium"
"Case 1299","Task","Premium","High","Medium"
"Case 13","Task","Premium","Normal","Short"
"Case 130","Question","Gold","Normal","Short"
"Case 1300","Question","Gold","Normal","Short"
"Case 1301","Task","Premium","Normal","Long"
"Case 1302","Task","Premium","High","Medium"
"Case 1303","Task","Premium","Normal","Medium"
"Case 1304","Task","Premium","Normal","Long"
"Case 1305","Task","Gold","High","Short"
"Case 1306","Incident","Gold","Normal","Medium"
"Case 1307","Question","Premium","Normal","Long"
"Case 1308","Incident","Gold","Normal","Long"
"Case 1309","Task","Premium","Normal","Medium"
"Case 131","Task","Gold","High","Medium"
"Case 1310","Task","Premium","Normal","Medium"
"Case 1311","Question","Gold","Normal","Long"
"Case 1312","Question","Gold","Normal","Medium"
"Case 1313","Task","Gold","Normal","Short"
"Case 1314","Task","Premium","Normal","Medium"
"Case 1315","Task","Premium","Urgent","Medium"
"Case 1316","Question","Gold","Normal","Long"
"Case 1317","Incident","Gold","Normal","Long"
"Case 1318","Question","Gold","Normal","Short"
"Case 1319","Task","Premium","Normal","Medium"
"Case 132","Question","Premium","Normal","Medium"
"Case 1320","Question","Premium","Normal","Medium"
"Case 1321","Task","Premium","Normal","Long"
"Case 1322","Incident","Premium","High","Short"
"Case 1323","Task","Premium","Normal","Short"
"Case 1324","Question","Premium","High","Short"
"Case 1325","Incident","Gold","Normal","Short"
"Case 1326","Task","Premium","Normal","Medium"
"Case 1327","Task","Premium","Normal","Long"
"Case 1328","Task","Gold","Normal","Short"
"Case 1329","Question","Gold","Normal","Short"
"Case 133","Incident","Premium","Urgent","Medium"
"Case 1330","Task","Premium","Normal","Short"
"Case 1331","Question","Gold","Normal","Short"
"Case 1332","Task","Gold","Normal","Short"
"Case 1333","Question","Premium","High","Short"
"Case 1334","Task","Premium","Normal","Long"
"Case 1335","Question","Gold","Normal","Medium"
"Case 1336","Question","Gold","High","Short"
"Case 1337","Task","Gold","Normal","Medium"
"Case 1338","Task","Premium","Normal","Short"
"Case 1339","Task","Premium","Normal","Long"
"Case 134","Question","Gold","Normal","Medium"
"Case 1340","Question","Gold","Normal","Medium"
"Case 1341","Question","Gold","Normal","Medium"
"Case 1342","Task","Premium","Normal","Long"
"Case 1343","Task","Premium","High","Long"
"Case 1344","Question","Gold","High","Long"
"Case 1345","Task","Premium","High","Medium"
"Case 1346","Task","Premium","Normal","Long"
"Case 1347","Question","Gold","Normal","Medium"
"Case 1348","Question","Gold","Normal","Long"
"Case 1349","Task","Premium","Normal","Long"
"Case 135","Task","Premium","Normal","Long"
"Case 1350","Incident","Premium","Normal","Medium"
"Case 1351","Task","Premium","Normal","Long"
"Case 1352","Question","Gold","High","Short"
"Case 1353","Task","Premium","High","Medium"
"Case 1354","Task","Premium","Normal","Medium"
"Case 1355","Task","Gold","Normal","Long"
"Case 1356","Task","Gold","High","Medium"
"Case 1357","Incident","Premium","High","Medium"
"Case 1358","Task","Premium","Normal","Long"
"Case 1359","Task","Premium","Normal","Long"
"Case 136","Incident","Gold","Normal","Short"
"Case 1360","Incident","Gold","High","Long"
"Case 1361","Question","Gold","Normal","Medium"
"Case 1362","Question","Gold","Normal","Long"
"Case 1363","Incident","Gold","Normal","Long"
"Case 1364","Task","Premium","Normal","Short"
"Case 1365","Question","Gold","Normal","Medium"
"Case 1366","Task","Premium","Normal","Long"
"Case 1367","Incident","Gold","High","Long"
"Case 1368","Incident","Premium","Normal","Medium"
"Case 1369","Incident","Premium","Normal","Short"
"Case 137","Task","Premium","Normal","Short"
"Case 1370","Task","Gold","Normal","Medium"
"Case 1371","Task","Premium","Normal","Long"
"Case 1372","Incident","Premium","Normal","Long"
"Case 1373","Task","Gold","Normal","Short"
"Case 1374","Task","Premium","Normal","Long"
"Case 1375","Task","Premium","Normal","Medium"
"Case 1376","Task","Premium","High","Medium"
"Case 1377","Task","Premium","Normal","Medium"
"Case 1378","Task","Gold","Normal","Long"
"Case 1379","Question","Gold","High","Long"
"Case 138","Question","Gold","Normal","Medium"
"Case 1380","Task","Premium","Normal","Medium"
"Case 1381","Question","Gold","Normal","Medium"
"Case 1382","Task","Premium","Normal","Short"
"Case 1383","Incident","Premium","Normal","Short"
"Case 1384","Question","Premium","Normal","Long"
"Case 1385","Incident","Premium","High","Medium"
"Case 1386","Question","Premium","Normal","Short"
"Case 1387","Task","Premium","Normal","Medium"
"Case 1388","Task","Gold","High","Short"
"Case 1389","Question","Gold","High","Medium"
"Case 139","Question","Gold","Normal","Medium"
"Case 1390","Task","Premium","Normal","Short"
"Case 1391","Task","Premium","Normal","Medium"
"Case 1392","Task","Premium","High","Long"
"Case 1393","Task","Premium","Normal","Medium"
"Case 1394","Question","Gold","Normal","Long"
"Case 1395","Task","Gold","High","Medium"
"Case 1396","Task","Premium","Normal","Medium"
"Case 1397","Task","Premium","Normal","Long"
"Case 1398","Task","Premium","Normal","Medium"
"Case 1399","Question","Gold","Normal","Short"
"Case 14","Incident","Gold","High","Short"
"Case 140","Task","Premium","Normal","Long"
"Case 1400","Incident","Gold","Normal","Medium"
"Case 1401","Task","Premium","Normal","Long"
"Case 1402","Task","Premium","Normal","Long"
"Case 1403","Task","Premium","High","Medium"
"Case 1404","Incident","Gold","Normal","Long"
"Case 1405","Task","Premium","Normal","Medium"
"Case 1406","Task","Gold","Normal","Long"
"Case 1407","Task","Gold","Normal","Medium"
"Case 1408","Question","Premium","Normal","Long"
"Case 1409","Incident","Gold","High","Short"
"Case 141","Incident","Premium","Normal","Medium"
"Case 1410","Question","Gold","Normal","Medium"
"Case 1411","Task","Premium","Normal","Long"
"Case 1412","Question","Gold","Normal","Short"
"Case 1413","Question","Gold","Normal","Long"
"Case 1414","Task","Premium","Urgent","Medium"
"Case 1415","Task","Premium","Normal","Long"
"Case 1416","Incident","Gold","Normal","Long"
"Case 1417","Task","Premium","Normal","Long"
"Case 1418","Incident","Premium","Normal","Long"
"Case 1419","Task","Premium","Normal","Short"
"Case 142","Question","Premium","Normal","Short"
"Case 1420","Task","Premium","Normal","Medium"
"Case 1421","Task","Gold","Normal","Medium"
"Case 1422","Task","Premium","Normal","Medium"
"Case 1423","Task","Premium","High","Short"
"Case 1424","Task","Premium","Normal","Long"
"Case 1425","Incident","Premium","Urgent","Long"
"Case 1426","Question","Gold","High","Short"
"Case 1427","Task","Premium","Normal","Short"
"Case 1428","Incident","Premium","High","Medium"
"Case 1429","Question","Premium","Normal","Medium"
"Case 143","Task","Premium","Normal","Short"
"Case 1430","Task","Premium","Normal","Medium"
"Case 1431","Question","Gold","Normal","Long"
"Case 1432","Task","Premium","High","Short"
"Case 1433","Task","Premium","Normal","Medium"
"Case 1434","Task","Premium","Normal","Long"
"Case 1435","Question","Gold","High","Medium"
"Case 1436","Task","Premium","Normal","Long"
"Case 1437","Question","Premium","Normal","Long"
"Case 1438","Incident","Premium","Normal","Short"
"Case 1439","Question","Gold","Normal","Short"
"Case 144","Task","Premium","Normal","Medium"
"Case 1440","Question","Gold","High","Short"
"Case 1441","Task","Premium","Normal","Long"
"Case 1442","Question","Gold","High","Short"
"Case 1443","Question","Gold","Normal","Short"
"Case 1444","Question","Gold","Normal","Short"
"Case 1445","Task","Premium","Normal","Short"
"Case 1446","Task","Gold","Normal","Medium"
"Case 1447","Question","Premium","Normal","Short"
"Case 1448","Question","Premium","Normal","Short"
"Case 1449","Task","Premium","Normal","Medium"
"Case 145","Task","Premium","Normal","Long"
"Case 1450","Incident","Premium","Normal","Short"
"Case 1451","Question","Premium","Normal","Medium"
"Case 1452","Question","Gold","Normal","Long"
"Case 1453","Question","Gold","Normal","Short"
"Case 1454","Question","Premium","High","Medium"
"Case 1455","Question","Gold","Normal","Long"
"Case 1456","Task","Premium","High","Long"
"Case 1457","Task","Premium","Normal","Short"
"Case 1458","Question","Gold","High","Short"
"Case 1459","Question","Gold","High","Medium"
"Case 146","Question","Gold","High","Short"
"Case 1460","Task","Premium","Normal","Medium"
"Case 1461","Task","Gold","Normal","Medium"
"Case 1462","Task","Premium","High","Short"
"Case 1463","Question","Premium","Normal","Medium"
"Case 1464","Task","Premium","Normal","Medium"
"Case 1465","Task","Premium","Normal","Medium"
"Case 1466","Task","Gold","High","Medium"
"Case 1467","Question","Gold","Normal","Short"
"Case 1468","Task","Premium","Normal","Long"
"Case 1469","Task","Premium","Normal","Long"
"Case 147","Task","Gold","High","Medium"
"Case 1470","Question","Premium","High","Short"
"Case 1471","Incident","Premium","Normal","Medium"
"Case 1472","Task","Premium","High","Medium"
"Case 1473","Incident","Premium","Normal","Long"
"Case 1474","Question","Gold","Normal","Short"
"Case 1475","Task","Premium","Normal","Long"
"Case 1476","Task","Premium","High","Medium"
"Case 1477","Task","Gold","Normal","Short"
"Case 1478","Task","Premium","Normal","Long"
"Case 1479","Question","Gold","Normal","Medium"
"Case 148","Question","Gold","High","Short"
"Case 1480","Incident","Premium","Normal","Short"
"Case 1481","Question","Premium","Normal","Short"
"Case 1482","Question","Gold","High","Short"
"Case 1483","Incident","Premium","Normal","Long"
"Case 1484","Task","Premium","Normal","Short"
"Case 1485","Task","Premium","High","Medium"
"Case 1486","Incident","Gold","Normal","Short"
"Case 1487","Task","Premium","Normal","Long"
"Case 1488","Question","Gold","Normal","Medium"
"Case 1489","Question","Gold","Normal","Short"
"Case 149","Question","Gold","High","Long"
"Case 1490","Question","Gold","Normal","Short"
"Case 1491","Task","Premium","Normal","Long"
"Case 1492","Incident","Premium","Normal","Short"
"Case 1493","Question","Gold","High","Medium"
"Case 1494","Question","Gold","Urgent","Short"
"Case 1495","Task","Premium","Normal","Medium"
"Case 1496","Task","Premium","High","Short"
"Case 1497","Question","Premium","Normal","Long"
"Case 1498","Question","Premium","High","Medium"
"Case 1499","Task","Premium","High","Short"
"Case 15","Task","Gold","Normal","Short"
"Case 150","Task","Gold","Normal","Long"
"Case 1500","Task","Premium","Normal","Long"
"Case 1501","Task","Premium","Normal","Short"
"Case 1502","Task","Premium","Normal","Long"
"Case 1503","Question","Gold","Normal","Long"
"Case 1504","Task","Premium","Normal","Medium"
"Case 1505","Question","Gold","High","Medium"
"Case 1506","Task","Premium","Normal","Medium"
"Case 1507","Incident","Gold","Normal","Short"
"Case 1508","Question","Gold","Normal","Short"
"Case 1509","Task","Premium","Normal","Medium"
"Case 151","Incident","Gold","High","Short"
"Case 1510","Task","Premium","Normal","Medium"
"Case 1511","Question","Gold","Normal","Medium"
"Case 1512","Task","Gold","Normal","Long"
"Case 1513","Task","Premium","Normal","Medium"
"Case 1514","Task","Premium","Normal","Medium"
"Case 1515","Question","Gold","Normal","Long"
"Case 1516","Task","Premium","Normal","Long"
"Case 1517","Incident","Gold","Normal","Medium"
"Case 1518","Task","Premium","Normal","Medium"
"Case 1519","Incident","Premium","Normal","Short"
"Case 152","Question","Gold","Normal","Short"
"Case 1520","Task","Gold","Normal","Medium"
"Case 1521","Incident","Gold","High","Medium"
"Case 1522","Question","Gold","High","Medium"
"Case 1523","Question","Gold","High","Medium"
"Case 1524","Question","Gold","Normal","Long"
"Case 1525","Question","Gold","Normal","Long"
"Case 1526","Incident","Gold","Normal","Short"
"Case 1527","Question","Gold","Urgent","Medium"
"Case 1528","Question","Premium","Normal","Medium"
"Case 1529","Question","Gold","Normal","Short"
"Case 153","Question","Gold","High","Short"
"Case 1530","Incident","Premium","Urgent","Medium"
"Case 1531","Question","Gold","Normal","Medium"
"Case 1532","Task","Gold","Normal","Medium"
"Case 1533","Task","Gold","Normal","Long"
"Case 1534","Incident","Premium","High","Short"
"Case 1535","Task","Premium","Normal","Long"
"Case 1536","Incident","Gold","Normal","Long"
"Case 1537","Question","Gold","Normal","Short"
"Case 1538","Task","Gold","Normal","Long"
"Case 1539","Incident","Gold","Normal","Long"
"Case 154","Task","Premium","Normal","Medium"
"Case 1540","Task","Gold","Normal","Medium"
"Case 1541","Task","Gold","High","Short"
"Case 1542","Task","Premium","High","Medium"
"Case 1543","Task","Premium","Normal","Medium"
"Case 1544","Question","Gold","Normal","Long"
"Case 1545","Question","Gold","High","Medium"
"Case 1546","Task","Premium","High","Long"
"Case 1547","Question","Gold","Normal","Short"
"Case 1548","Question","Gold","Normal","Short"
"Case 1549","Task","Premium","High","Medium"
"Case 155","Task","Premium","Normal","Long"
"Case 1550","Question","Gold","Normal","Long"
"Case 1551","Question","Premium","High","Medium"
"Case 1552","Question","Gold","Normal","Medium"
"Case 1553","Question","Gold","High","Short"
"Case 1554","Task","Gold","Normal","Medium"
"Case 1555","Question","Gold","Normal","Medium"
"Case 1556","Question","Gold","Normal","Short"
"Case 1557","Task","Premium","Normal","Medium"
"Case 1558","Question","Gold","Normal","Medium"
"Case 1559","Question","Gold","Normal","Medium"
"Case 156","Incident","Gold","Normal","Short"
"Case 1560","Question","Gold","Normal","Long"
"Case 1561","Question","Premium","Normal","Long"
"Case 1562","Task","Premium","Normal","Medium"
"Case 1563","Incident","Premium","High","Short"
"Case 1564","Question","Gold","Normal","Medium"
"Case 1565","Task","Premium","High","Medium"
"Case 1566","Incident","Gold","Normal","Medium"
"Case 1567","Task","Premium","High","Long"
"Case 1568","Question","Gold","Normal","Medium"
