Case ID,Application Type,Loan Goal,Requested Amount,First Credit Score,Last Credit Score,Having Call to Complete Application,Number of Offers,First Offer,Last Offer,First Offers Monthly Cost,Last Offers Monthly Cost,Throughput Times,Results
"Application_1006959642","New credit","Car",5000,1099,0,0,2,5000,5000,149.07,150,6.832777777777777,"Successful completion"
"Application_1007147744","New credit","Car",20000,0,0,0,1,20000,20000,371.17,371.17,32.50652777777778,"Cancelled by client"
"Application_1007290684","New credit","Not speficied",25000,969,969,0,1,25000,25000,1295.57,1295.57,51.95694444444445,"Successful completion"
"Application_1007423229","New credit","Car",22000,0,0,0,2,37500,44500,1090.66,1294.25,12.80050925925926,"Denied by the bank"
"Application_1007501706","New credit","Existing loan takeover",45000,0,0,0,2,45000,45000,450,458.2,31.71358796296296,"Cancelled by client"
"Application_1007601292","New credit","Home improvement",25000,0,0,0,2,25000,25000,254.56,250,36.8593287037037,"Denied by the bank"
"Application_100833857","New credit","Home improvement",38300,927,927,0,1,37000,37000,410.63,410.63,14.87119212962963,"Successful completion"
"Application_1008474739","New credit","Car",7000,0,0,1,2,7000,7000,100,101.41,24.60804398148148,"Cancelled by client"
"Application_100853745","New credit","Car",10000,0,0,0,1,10000,10000,249.58,249.58,20.95336805555555,"Denied by the bank"
"Application_1008663678","New credit","Home improvement",5000,0,0,0,1,5000,5000,97.40000000000001,97.40000000000001,35.49725694444444,"Denied by the bank"
"Application_1008776960","New credit","Car",12000,0,922,1,2,12000,12000,225.22,223.1,14.54127314814815,"Successful completion"
"Application_1008848932","New credit","Car",25000,0,0,0,2,25000,25000,429.8,499.6,6.757476851851852,"Cancelled by client"
"Application_100896625","New credit","Not speficied",15000,0,0,0,1,15000,15000,710.36,710.36,8.24494212962963,"Cancelled by client"
"Application_1009604939","New credit","Motorcycle",10400,0,0,0,3,10400,60400,215.85,615.01,25.99384259259259,"Denied by the bank"
"Application_1009728487","New credit","Boat",75000,0,0,0,1,75000,75000,763.67,763.67,20.83188657407407,"Denied by the bank"
"Application_101013624","New credit","Other, see explanation",8000,917,917,0,1,8000,8000,100,100,23.68223379629629,"Successful completion"
"Application_1010273024","Limit raise","Home improvement",26000,0,0,0,1,26000,26000,260,260,21.74880787037037,"Successful completion"
"Application_1010578897","New credit","Existing loan takeover",5000,823,823,1,1,5000,5000,152.82,152.82,12.98935185185185,"Successful completion"
"Application_1010651948","New credit","Car",18000,878,878,0,1,18000,18000,334.05,334.05,26.51787037037037,"Successful completion"
"Application_1010657155","New credit","Existing loan takeover",9000,0,800,1,3,9000,9000,90,107.26,14.63413194444444,"Successful completion"
"Application_1011449253","New credit","Other, see explanation",21800,906,906,0,1,21800,21800,301.14,301.14,7.074791666666667,"Successful completion"
"Application_1011657063","New credit","Existing loan takeover",30000,0,0,0,1,30000,30000,300,300,13.40190972222222,"Denied by the bank"
"Application_1011933027","New credit","Not speficied",5000,0,0,0,1,5000,5000,222.31,222.31,31.72479166666667,"Cancelled by client"
"Application_1012036369","Limit raise","Other, see explanation",26000,696,696,0,1,26000,26000,260,260,23.91306712962963,"Successful completion"
"Application_1012362506","New credit","Home improvement",25000,991,991,0,1,25000,25000,277.45,277.45,20.7706712962963,"Successful completion"
"Application_1012714056","New credit","Car",25700,0,688,0,4,24700,15000,261.8,157.59,17.70269675925926,"Successful completion"
"Application_1012727008","New credit","Car",8000,1049,1049,0,1,8000,8000,245.89,245.89,9.960150462962963,"Successful completion"
"Application_1014301064","New credit","Unknown",0,0,0,0,1,7000,7000,137.59,137.59,14.77168981481482,"Denied by the bank"
"Application_1014473740","New credit","Home improvement",20000,0,0,0,1,20000,20000,500,500,30.93793981481481,"Cancelled by client"
"Application_1015071619","New credit","Home improvement",15000,680,680,0,1,15000,15000,154.11,154.11,17.86805555555556,"Successful completion"
"Application_1015323110","New credit","Home improvement",5000,0,0,1,1,5000,5000,100.25,100.25,22.61900462962963,"Cancelled by client"
"Application_101548356","New credit","Remaining debt home",29800,0,0,1,3,19500,19500,147.32,147.32,37.25549768518518,"Cancelled by client"
"Application_1015522224","New credit","Car",17000,0,0,0,2,17000,17000,315.49,315.49,0.5179050925925925,"Cancelled by client"
"Application_1015666669","New credit","Car",5000,0,0,0,1,5000,5000,98.8,98.8,31.57813657407407,"Cancelled by client"
"Application_1017054863","New credit","Home improvement",25000,815,815,0,1,25000,25000,350,350,6.974363425925926,"Successful completion"
"Application_1017578132","Limit raise","Unknown",0,0,0,0,1,15000,15000,150,150,5.001458333333333,"Successful completion"
"Application_1018249155","New credit","Other, see explanation",5000,0,0,0,1,28000,28000,350,350,7.902858796296297,"Denied by the bank"
"Application_1018538193","New credit","Existing loan takeover",70000,0,825,0,3,70000,55000,732.15,560.02,6.059398148148148,"Successful completion"
"Application_1019299562","New credit","Caravan / Camper",15000,920,920,0,1,15000,15000,249.15,249.15,17.00710648148148,"Successful completion"
"Application_1019469082","New credit","Car",20000,0,0,0,1,20000,20000,400,400,31.66452546296296,"Cancelled by client"
"Application_1020232709","New credit","Existing loan takeover",10000,1001,1001,0,1,10000,10000,150,150,12.94604166666667,"Successful completion"
"Application_1020410553","New credit","Existing loan takeover",21000,0,0,0,1,21000,21000,420,420,22.92104166666667,"Denied by the bank"
"Application_1020792873","New credit","Existing loan takeover",10000,808,808,0,1,10000,10000,200,200,28.014375,"Successful completion"
"Application_1020819842","New credit","Existing loan takeover",66600,812,812,0,1,66500,66500,800,800,18.03311342592593,"Successful completion"
"Application_1022619955","New credit","Car",10000,888,888,0,1,10000,10000,100,100,13.21071759259259,"Successful completion"
"Application_10226694","New credit","Remaining debt home",20000,941,941,0,1,20000,20000,205.49,205.49,31.60501157407407,"Successful completion"
"Application_1024263335","New credit","Car",15000,0,0,0,1,20000,20000,371.17,371.17,30.69194444444445,"Cancelled by client"
"Application_1024372028","New credit","Car",6500,0,0,0,2,6500,7000,209.29,213.95,30.60673611111111,"Cancelled by client"
"Application_1024776595","New credit","Other, see explanation",5000,0,0,0,1,5000,5000,50,50,13.19079861111111,"Denied by the bank"
"Application_1024812544","New credit","Car",10000,882,882,0,1,10000,10000,191.27,191.27,15.77790509259259,"Successful completion"
"Application_1025200557","New credit","Extra spending limit",5000,0,0,0,1,5000,5000,50,50,30.6662037037037,"Cancelled by client"
"Application_1025457860","New credit","Car",15000,0,0,0,1,15000,15000,369.19,369.19,32.56295138888889,"Cancelled by client"
"Application_1026359360","New credit","Car",5000,0,0,1,1,5000,5000,110,110,18.90370370370371,"Cancelled by client"
"Application_1026537393","New credit","Home improvement",30000,0,0,0,1,20000,20000,371.17,371.17,12.83233796296296,"Denied by the bank"
"Application_102661342","New credit","Home improvement",6000,0,0,0,1,6000,6000,116.87,116.87,31.82961805555556,"Cancelled by client"
"Application_1029342308","New credit","Car",10000,0,0,0,2,10000,10000,294.71,294.71,0.6284722222222222,"Denied by the bank"
"Application_1029418789","New credit","Car",10000,0,0,0,1,10000,10000,100,100,49.81180555555556,"Cancelled by client"
"Application_102977791","New credit","Car",8000,1030,1030,0,1,8000,8000,155.83,155.83,27.55269675925926,"Successful completion"
"Application_1029986710","New credit","Car",7000,0,0,0,1,7000,7000,215.15,215.15,12.82077546296296,"Denied by the bank"
"Application_1030783985","New credit","Other, see explanation",7200,1030,1030,0,1,7200,7200,140,140,8.720740740740741,"Successful completion"
"Application_103087302","New credit","Home improvement",17500,890,890,0,1,17500,17500,179.8,179.8,8.706215277777778,"Successful completion"
"Application_1031285536","New credit","Existing loan takeover",5000,1019,1019,0,1,5000,5000,118.15,118.15,50.74436342592593,"Successful completion"
"Application_1031388577","New credit","Other, see explanation",75000,0,0,0,3,61000,72000,610,733.12,36.48230324074074,"Cancelled by client"
"Application_1031512096","New credit","Existing loan takeover",7000,0,0,0,2,5000,7000,150,208.7,1.631064814814815,"Cancelled by client"
"Application_1031666995","New credit","Car",15000,1004,1004,0,1,15000,15000,296.2,296.2,17.0712037037037,"Successful completion"
"Application_103222410","New credit","Home improvement",6500,0,0,0,1,6500,6500,198.67,198.67,31.43375,"Cancelled by client"
"Application_1032916256","New credit","Car",8500,0,0,0,3,11000,22000,177.56,347.35,23.04565972222222,"Successful completion"
"Application_1033039379","New credit","Car",10000,0,0,0,1,10000,10000,200.95,200.95,11.48914351851852,"Denied by the bank"
"Application_1033444821","New credit","Existing loan takeover",21000,0,0,0,3,21000,21000,250.37,250.37,74.84791666666666,"Cancelled by client"
"Application_1033492370","New credit","Unknown",0,0,1002,0,2,13000,15000,138.39,154.11,19.83872685185185,"Successful completion"
"Application_1033756531","New credit","Not speficied",24000,0,0,1,1,19000,19000,190,190,48.88589120370371,"Denied by the bank"
"Application_1034775753","New credit","Car",5500,669,669,0,1,5500,5500,121.17,121.17,20.70180555555556,"Successful completion"
"Application_1035060924","New credit","Existing loan takeover",58000,0,903,0,3,53000,58500,539.66,585,14.64511574074074,"Successful completion"
"Application_1035080902","New credit","Car",10000,0,0,0,1,10000,10000,200,200,30.60980324074074,"Cancelled by client"
"Application_1035841874","New credit","Unknown",0,1016,1016,0,1,10000,10000,100,100,4.074583333333333,"Successful completion"
"Application_1036915113","New credit","Car",6000,0,0,0,1,6000,6000,266.77,266.77,30.92012731481481,"Cancelled by client"
"Application_1037039544","New credit","Unknown",0,906,906,0,1,30800,30800,398.41,398.41,5.958425925925926,"Successful completion"
"Application_103754631","New credit","Existing loan takeover",15000,850,0,0,2,15000,15000,448.17,450,9.826331018518518,"Successful completion"
"Application_1037715800","New credit","Other, see explanation",50000,882,882,1,1,50000,50000,923.5599999999999,923.5599999999999,14.10155092592593,"Successful completion"
"Application_1037877882","New credit","Remaining debt home",15000,0,937,1,2,20000,20000,200,210.12,22.00232638888889,"Successful completion"
"Application_1038409529","New credit","Car",10000,791,791,0,1,10000,10000,318.56,318.56,17.74181712962963,"Successful completion"
"Application_1038559722","New credit","Home improvement",5000,0,0,0,1,5000,5000,100,100,16.43699074074074,"Denied by the bank"
"Application_1038568085","New credit","Home improvement",6000,0,0,0,1,6000,6000,204.22,204.22,30.89668981481481,"Cancelled by client"
"Application_1038660996","New credit","Existing loan takeover",70000,0,0,0,1,66000,66000,700,700,21.94685185185185,"Cancelled by client"
"Application_1038917262","New credit","Car",18000,0,0,0,1,18000,18000,399.42,399.42,17.75954861111111,"Cancelled by client"
"Application_104061665","New credit","Existing loan takeover",25000,921,921,0,1,25000,25000,254.56,254.56,25.80017361111111,"Successful completion"
"Application_104086705","New credit","Existing loan takeover",50000,0,0,0,1,50000,50000,522.97,522.97,31.40646990740741,"Cancelled by client"
"Application_1041352861","Limit raise","Home improvement",0,0,0,0,1,70000,70000,700,700,13.03107638888889,"Successful completion"
"Application_1041474698","New credit","Other, see explanation",20000,0,0,0,1,20000,20000,205.49,205.49,1.701527777777778,"Denied by the bank"
"Application_1041893740","New credit","Car",10000,0,0,0,1,10000,10000,200.95,200.95,31.96414351851852,"Cancelled by client"
"Application_1042227438","New credit","Car",30000,0,0,0,1,30000,30000,349.13,349.13,31.78079861111111,"Cancelled by client"
"Application_1042283273","New credit","Car",9500,660,660,0,1,10000,10000,191.27,191.27,15.81082175925926,"Successful completion"
"Application_1042483528","New credit","Other, see explanation",10000,0,0,0,1,10000,10000,124.88,124.88,1.13744212962963,"Cancelled by client"
"Application_1042621630","New credit","Unknown",10000,0,941,0,2,10000,7200,200,150,31.13001157407408,"Successful completion"
"Application_1042909603","New credit","Caravan / Camper",60000,0,0,0,1,60000,60000,600,600,32.45633101851852,"Cancelled by client"
"Application_1043286395","New credit","Boat",25000,0,0,0,1,25000,25000,461.78,461.78,30.71841435185185,"Cancelled by client"
"Application_1043759662","New credit","Not speficied",6500,0,0,0,3,13000,6500,245.8,130,31.74357638888889,"Cancelled by client"
"Application_104534633","New credit","Home improvement",10000,1052,1052,0,1,10000,10000,100,100,13.14892361111111,"Successful completion"
"Application_104674625","New credit","Unknown",0,0,0,0,1,8000,8000,689.6900000000001,689.6900000000001,0.007893518518518518,"Cancelled by client"
"Application_1046834008","New credit","Home improvement",15000,869,869,0,1,15000,15000,150,150,10.55395833333333,"Successful completion"
"Application_1046950400","New credit","Existing loan takeover",5000,0,1016,0,2,5000,15000,100,249.04,43.80570601851852,"Successful completion"
"Application_1047582740","New credit","Other, see explanation",5000,938,938,1,1,5000,5000,200,200,10.96532407407407,"Successful completion"
"Application_1047649064","New credit","Existing loan takeover",40000,0,849,1,2,20000,25000,394.93,400,24.68259259259259,"Successful completion"
"Application_1048045767","New credit","Existing loan takeover",7500,958,958,0,1,7500,7500,150,150,7.161319444444445,"Successful completion"
"Application_1048729110","New credit","Other, see explanation",15000,0,0,0,1,15000,15000,154.11,154.11,65.7875462962963,"Denied by the bank"
"Application_1048862780","New credit","Home improvement",8500,1026,1026,1,1,8500,8500,95.70999999999999,95.70999999999999,12.1722337962963,"Successful completion"
"Application_1049158506","Limit raise","Unknown",16500,0,0,0,1,16500,16500,165,165,12.15975694444444,"Successful completion"
"Application_1049972821","New credit","Not speficied",75000,0,0,0,1,33000,33000,330,330,32.44334490740741,"Cancelled by client"
"Application_1050085739","New credit","Other, see explanation",11500,0,0,0,1,7000,7000,150,150,35.47958333333333,"Cancelled by client"
"Application_1050938301","New credit","Remaining debt home",23000,923,923,0,1,23000,23000,236.31,236.31,46.78800925925926,"Successful completion"
"Application_105128819","New credit","Other, see explanation",15000,951,951,0,1,15000,15000,175,175,26.10726851851852,"Successful completion"
"Application_1052198739","New credit","Car",15000,825,825,0,1,15000,15000,340.8,340.8,6.632708333333333,"Successful completion"
"Application_1052488188","New credit","Home improvement",30000,982,982,0,1,30000,30000,305.47,305.47,9.098692129629629,"Successful completion"
"Application_1053010811","New credit","Home improvement",10000,783,783,0,1,10000,10000,106.46,106.46,14.91762731481482,"Successful completion"
"Application_1053321873","New credit","Car",8000,0,0,1,3,8000,10000,158.08,191.27,53.2762037037037,"Cancelled by client"
"Application_1053676106","New credit","Car",5000,0,0,0,1,5000,5000,100.25,100.25,10.18216435185185,"Denied by the bank"
"Application_105434976","New credit","Car",6000,0,0,0,1,8400,8400,150.98,150.98,48.94628472222222,"Cancelled by client"
"Application_1054590917","New credit","Car",25000,984,984,0,1,25000,25000,273.28,273.28,10.80945601851852,"Successful completion"
"Application_1054610040","New credit","Not speficied",10000,0,0,0,2,10000,10000,189.08,200,3.464097222222222,"Cancelled by client"
"Application_105476077","New credit","Remaining debt home",0,0,759,1,2,26500,27000,489.49,498.72,42.67145833333333,"Successful completion"
"Application_1054883456","New credit","Home improvement",8000,815,815,0,1,8000,8000,90.08,90.08,21.74128472222222,"Successful completion"
"Application_1055057439","New credit","Car",6000,921,0,0,3,6000,6000,60,60,24.02909722222222,"Successful completion"
"Application_1055557026","New credit","Home improvement",30000,0,0,0,1,30000,30000,313.78,313.78,31.91324074074074,"Cancelled by client"
"Application_1055618357","New credit","Existing loan takeover",50000,0,0,0,1,30000,30000,300,300,19.13318287037037,"Denied by the bank"
"Application_1055785370","New credit","Home improvement",10000,0,0,0,1,10000,10000,150,150,31.4203125,"Cancelled by client"
"Application_1055868885","New credit","Car",21500,830,830,1,1,21500,21500,296.99,296.99,14.680625,"Successful completion"
"Application_1055889043","New credit","Home improvement",7500,1039,1039,0,1,7500,7500,199.5,199.5,18.4371412037037,"Successful completion"
"Application_1056628969","New credit","Other, see explanation",6000,0,0,0,1,6000,6000,150.09,150.09,31.65038194444444,"Cancelled by client"
"Application_1056728728","New credit","Home improvement",10000,780,780,0,1,10000,10000,200,200,12.26405092592593,"Successful completion"
"Application_1057130346","New credit","Home improvement",18000,0,0,0,3,18000,18000,184.94,201.4,34.06025462962963,"Successful completion"
"Application_1057948957","New credit","Car",11000,1011,1011,0,1,11000,11000,230.7,230.7,24.74721064814815,"Successful completion"
"Application_1058243931","New credit","Car",15000,0,0,0,2,15000,17000,278.38,297.83,9.715243055555556,"Denied by the bank"
"Application_1058972301","New credit","Car",21000,0,0,0,1,21000,21000,215.76,215.76,32.4066087962963,"Cancelled by client"
"Application_1058982112","New credit","Car",16000,960,960,0,1,16000,16000,296.93,296.93,12.15143518518519,"Successful completion"
"Application_105906022","New credit","Existing loan takeover",30000,0,0,0,1,30000,30000,305.47,305.47,18.8469212962963,"Denied by the bank"
"Application_1059184025","New credit","Caravan / Camper",6600,0,1018,0,3,6600,10000,129.73,140,6.205358796296296,"Successful completion"
"Application_1059317915","New credit","Car",5000,1076,1076,0,1,5000,5000,97.40000000000001,97.40000000000001,7.944490740740741,"Successful completion"
"Application_105937968","New credit","Other, see explanation",20000,0,0,0,1,20000,20000,323.68,323.68,31.35217592592593,"Cancelled by client"
"Application_1059851748","New credit","Home improvement",5000,762,762,0,1,5000,5000,83.61,83.61,11.16841435185185,"Successful completion"
"Application_1060612423","New credit","Car",9300,0,845,0,2,9300,9000,219.75,212.66,7.059247685185185,"Successful completion"
"Application_1061140974","New credit","Existing loan takeover",15000,0,0,0,1,18000,18000,334.05,334.05,15.82216435185185,"Denied by the bank"
"Application_1061354216","New credit","Tax payments",6000,0,0,0,1,6000,6000,200,200,4.090023148148148,"Cancelled by client"
"Application_1061526404","New credit","Car",8000,0,883,0,5,8000,6800,155.83,140.51,38.8419675925926,"Successful completion"
"Application_1062571933","New credit","Existing loan takeover",10000,0,0,0,3,10000,10000,115,113.1,58.56629629629629,"Cancelled by client"
"Application_1062597280","New credit","Car",6000,0,0,0,2,6000,6000,174.62,174.62,32.54981481481482,"Cancelled by client"
"Application_1062777757","New credit","Home improvement",6000,875,875,0,1,6000,6000,266.77,266.77,9.62306712962963,"Successful completion"
"Application_1062938548","New credit","Extra spending limit",5000,666,666,0,1,5000,5000,110.16,110.16,14.03271990740741,"Successful completion"
"Application_1063014072","New credit","Existing loan takeover",5000,0,0,1,1,5000,5000,347.54,347.54,55.17596064814815,"Cancelled by client"
"Application_1063334591","New credit","Existing loan takeover",43750,1012,1012,0,1,44000,44000,499.85,499.85,14.09225694444445,"Successful completion"
"Application_1063923348","New credit","Car",15000,0,0,0,1,15000,15000,278.38,278.38,7.748587962962963,"Cancelled by client"
"Application_1064063552","New credit","Unknown",0,934,934,1,1,17000,17000,344.9,344.9,11.05622685185185,"Successful completion"
"Application_1065521969","New credit","Car",10000,0,0,0,1,10000,10000,200.95,200.95,26.24652777777778,"Denied by the bank"
"Application_1066126238","New credit","Home improvement",15000,0,0,1,1,15000,15000,154.11,154.11,8.584745370370371,"Denied by the bank"
"Application_1067751978","New credit","Existing loan takeover",25000,0,0,0,1,25000,25000,250,250,9.104432870370371,"Denied by the bank"
"Application_1067894025","Limit raise","Car",45000,0,0,0,1,45000,45000,450,450,9.87962962962963,"Successful completion"
"Application_1068027824","New credit","Other, see explanation",5000,905,905,0,1,5000,5000,347.54,347.54,4.910833333333334,"Successful completion"
"Application_1068062776","New credit","Existing loan takeover",13200,944,944,0,1,13200,13200,140.52,140.52,20.52398148148148,"Successful completion"
"Application_1068338293","New credit","Existing loan takeover",23000,0,906,0,2,23000,25000,503.4,499.6,11.82354166666667,"Successful completion"
"Application_106973225","New credit","Home improvement",30000,0,0,0,1,30000,30000,300,300,31.82084490740741,"Cancelled by client"
"Application_107006704","New credit","Home improvement",15500,0,920,0,4,15500,25000,315,378.67,13.17857638888889,"Successful completion"
"Application_107048111","New credit","Existing loan takeover",60000,0,0,0,1,60000,60000,610.9299999999999,610.9299999999999,32.43524305555555,"Cancelled by client"
"Application_1070792566","Limit raise","Home improvement",35000,0,0,0,1,35000,35000,500,500,19.74415509259259,"Successful completion"
"Application_1070981949","New credit","Existing loan takeover",57000,1043,1043,0,1,57000,57000,596.1799999999999,596.1799999999999,7.7984375,"Successful completion"
"Application_1071087950","New credit","Car",5000,0,0,1,2,5000,8000,291.87,355.7,13.12700231481482,"Denied by the bank"
"Application_1071567668","New credit","Existing loan takeover",15000,920,920,0,1,15000,15000,150,150,14.79075231481482,"Successful completion"
"Application_1071820701","New credit","Home improvement",6250,0,859,0,2,11250,11250,119.76,119.76,28.00351851851852,"Successful completion"
"Application_1072060993","New credit","Car",10000,885,885,0,1,10000,10000,200,200,10.08240740740741,"Successful completion"
"Application_1072131214","New credit","Existing loan takeover",15000,0,851,0,2,15000,15000,250.48,249.15,11.82363425925926,"Successful completion"
"Application_1072363196","New credit","Car",25000,0,869,0,2,25000,25000,709.3200000000001,702.89,17.14344907407407,"Successful completion"
"Application_1072401713","New credit","Not speficied",13500,827,827,0,1,15800,15800,293.22,293.22,25.8852662037037,"Successful completion"
"Application_1073355268","Limit raise","Home improvement",17500,0,0,0,1,17500,17500,175,175,10.9615162037037,"Successful completion"
"Application_1076081955","New credit","Extra spending limit",15000,929,929,0,1,15000,15000,300,300,7.994085648148148,"Successful completion"
"Application_1076323709","New credit","Other, see explanation",19000,818,818,0,1,20000,20000,205.49,205.49,6.842175925925926,"Successful completion"
"Application_1076621871","New credit","Existing loan takeover",5000,0,0,1,1,5000,5000,100,100,45.8403125,"Cancelled by client"
"Application_1078140856","New credit","Motorcycle",5000,851,851,1,1,5000,5000,97.40000000000001,97.40000000000001,19.42469907407407,"Successful completion"
"Application_107816336","New credit","Car",21500,0,0,0,1,21500,21500,475.22,475.22,32.91900462962963,"Cancelled by client"
"Application_1079258234","New credit","Home improvement",46500,0,0,0,2,46500,26000,473.47,264.74,21.1002662037037,"Cancelled by client"
"Application_1079421280","New credit","Home improvement",10000,0,0,0,1,10000,10000,441.21,441.21,9.899641203703704,"Cancelled by client"
"Application_1080107159","New credit","Home improvement",15000,980,980,0,1,15000,15000,150,150,7.841238425925926,"Successful completion"
"Application_1080224644","New credit","Other, see explanation",10000,777,777,0,1,10000,10000,106.46,106.46,61.84181712962963,"Successful completion"
"Application_1081922748","New credit","Home improvement",12500,823,823,0,1,12500,12500,153.58,153.58,10.59826388888889,"Successful completion"
"Application_1082342116","New credit","Car",13000,0,0,0,2,13000,15000,353.98,354.37,32.53542824074074,"Cancelled by client"
"Application_1083700866","New credit","Unknown",0,955,955,1,1,10500,10500,171.82,171.82,18.85336805555556,"Successful completion"
"Application_1084197155","New credit","Existing loan takeover",40000,0,0,0,1,40000,40000,407.29,407.29,38.02111111111111,"Cancelled by client"
"Application_1084464148","New credit","Extra spending limit",5000,0,0,0,1,5000,5000,98.8,98.8,25.24846064814815,"Denied by the bank"
"Application_1084954796","New credit","Existing loan takeover",50000,869,0,0,2,49000,50000,782.29,798.25,30.81494212962963,"Successful completion"
"Application_1084966420","New credit","Other, see explanation",35000,0,0,0,1,30000,30000,300,300,7.973645833333333,"Cancelled by client"
"Application_1085313302","New credit","Motorcycle",8000,0,1010,0,2,8000,8000,200,200,12.88869212962963,"Successful completion"
"Application_1085521488","New credit","Existing loan takeover",6000,905,905,0,1,6000,6000,116.87,116.87,10.97475694444444,"Successful completion"
"Application_1086310567","New credit","Car",10000,948,948,0,1,10000,10000,193.03,193.03,10.94917824074074,"Successful completion"
"Application_1086593705","New credit","Not speficied",5000,0,0,1,1,5000,5000,222.31,222.31,56.14701388888889,"Cancelled by client"
"Application_1086606722","New credit","Home improvement",5000,0,0,0,1,5000,5000,100.25,100.25,20.7078587962963,"Denied by the bank"
"Application_1086862400","Limit raise","Home improvement",30000,0,0,0,1,30000,30000,300,300,19.08928240740741,"Successful completion"
"Application_1087053459","New credit","Car",17000,817,817,0,1,17000,17000,219.36,219.36,7.712476851851852,"Successful completion"
"Application_1087137354","New credit","Home improvement",10000,972,972,1,1,10000,10000,149.19,149.19,46.77868055555555,"Successful completion"
"Application_1087176482","New credit","Home improvement",15000,818,818,0,1,6000,6000,60,60,24.15237268518518,"Successful completion"
"Application_1087673661","New credit","Existing loan takeover",37500,0,0,0,1,37500,37500,392.22,392.22,32.69768518518519,"Cancelled by client"
"Application_1087708979","New credit","Existing loan takeover",30000,827,827,0,1,30000,30000,305.47,305.47,17.88415509259259,"Successful completion"
"Application_108777253","New credit","Car",5000,0,0,0,1,6000,6000,100,100,33.84122685185185,"Cancelled by client"
"Application_1087802012","New credit","Car",10000,895,895,1,1,10000,10000,189.08,189.08,7.903715277777778,"Successful completion"
"Application_1088555315","New credit","Car",11000,0,0,1,1,11000,11000,150,150,67.90831018518519,"Cancelled by client"
"Application_1088749867","New credit","Home improvement",14000,0,733,0,4,9300,14000,104.72,267.78,35.25443287037037,"Successful completion"
"Application_1088837371","New credit","Car",50000,942,942,0,1,50000,50000,522.97,522.97,7.825173611111111,"Successful completion"
"Application_108884184","New credit","Existing loan takeover",25000,863,863,0,1,25000,25000,254.56,254.56,30.80150462962963,"Successful completion"
"Application_1089919129","New credit","Existing loan takeover",60000,0,0,0,1,27400,27400,810.4400000000001,810.4400000000001,30.6684375,"Cancelled by client"
"Application_1090055049","New credit","Existing loan takeover",25500,930,930,0,1,25500,25500,255,255,29.71833333333333,"Successful completion"
"Application_1090342212","New credit","Existing loan takeover",65000,0,0,0,1,65000,65000,1300,1300,31.48063657407408,"Cancelled by client"
"Application_1090564097","New credit","Car",6000,0,0,0,1,6000,6000,125,125,28.45857638888889,"Denied by the bank"
"Application_1090987472","New credit","Home improvement",30000,917,917,1,1,25000,25000,392.51,392.51,25.02376157407408,"Successful completion"
"Application_1091101077","New credit","Home improvement",50000,0,0,0,1,50000,50000,500,500,31.55875,"Cancelled by client"
"Application_1092476821","New credit","Other, see explanation",10000,1041,0,0,2,10000,10000,300,300.07,6.886770833333333,"Successful completion"
"Application_1092818447","New credit","Car",6500,1008,1008,0,1,6500,6500,221.24,221.24,11.81527777777778,"Successful completion"
